variable_a,variable_b,cramers_v
e_con_ar,e_con_lu,0.15176816784750974
ant_inf,e_con_pp,0.13596878511747415
ant_clau,ant_inf,0.12387379607735557
ant_inf,diabetes,0.11947195990841075
diabetes,e_con_pp,0.07840098186182434
ant_isq,e_con_be,0.07681876577680052
e_con_af,e_con_ar,0.07658564046715102
ant_clau,e_con_pp,0.07191499055061705
ant_isq,diabetes,0.07188031294783453
andujak2,e_con_pr,0.05680645743914778
ant_clau,diabetes,0.054693764073209694
ant_isq,e_con_pr,0.04784687558787703
andujak2,ant_isq,0.046931201075532065
e_con_ar,e_con_va,0.045277215350647985
ant_inf,e_con_va,0.04253545118627921
ant_isq,e_con_pp,0.03837897199989788
andujak2,ant_clau,0.034105329831573265
andujak2,e_con_ec,0.031339908820702735
ant_inf,e_con_ar,0.02998211063265202
e_con_ec,e_con_pp,0.027688178020974962
ant_inf,e_con_lu,0.02352607033971404
andujak2,diabetes,0.017864729457304582
e_con_pp,e_con_va,0.014404201400033304
e_con_cu,e_con_pp,0.005259830132619732
andujak2,e_con_pp,0.0023663499328744285
