antecedents,consequents,support,confidence,lift,leverage,antecedent_len,consequent_len
e_con_pp:No,"andujak2:No, ant_inf:No",0.8675925925925926,0.9507864028411974,1.009188516037831,0.007899305555555514,1,2
"andujak2:No, ant_inf:No",e_con_pp:No,0.8675925925925926,0.9208845208845209,1.009188516037831,0.007899305555555514,2,1
diabetes:No,"andujak2:No, ant_inf:No",0.862037037037037,0.9504849412965799,1.0088685371993182,0.007577803497942348,1,2
"andujak2:No, ant_inf:No",diabetes:No,0.862037037037037,0.914987714987715,1.0088685371993182,0.007577803497942348,2,1
"andujak2:No, e_con_pp:No",diabetes:No,0.8143518518518519,0.9151925078043704,1.009094342448923,0.007339248971193424,2,1
diabetes:No,"andujak2:No, e_con_pp:No",0.8143518518518519,0.8979070954568658,1.009094342448923,0.007339248971193424,1,2
"andujak2:No, diabetes:No",e_con_pp:No,0.8143518518518519,0.9204604918890634,1.0087238267277407,0.007042824074074194,2,1
e_con_pp:No,"andujak2:No, diabetes:No",0.8143518518518519,0.8924403855910705,1.0087238267277407,0.007042824074074194,1,2
"andujak2:No, e_con_pp:No",ant_inf:No,0.8675925925925926,0.9750260145681582,1.0076823882618287,0.006614368998628217,2,1
ant_inf:No,"andujak2:No, e_con_pp:No",0.8675925925925926,0.8966507177033493,1.0076823882618284,0.006614368998628217,1,2
"andujak2:No, diabetes:No",ant_inf:No,0.862037037037037,0.9743589743589745,1.006993006993007,0.005986368312757229,2,1
ant_inf:No,"andujak2:No, diabetes:No",0.862037037037037,0.890909090909091,1.006993006993007,0.005986368312757229,1,2
"andujak2:No, eisq_cer:No",eisq_art:No,0.9564814814814815,0.9866284622731615,1.006193332629853,0.00588734567901239,2,1
eisq_art:No,"andujak2:No, eisq_cer:No",0.9564814814814815,0.975448536355052,1.006193332629853,0.00588734567901239,1,2
"andujak2:No, eisq_art:No",eisq_cer:No,0.9564814814814815,1.0,1.0060549604098743,0.005756601508916326,2,1
eisq_cer:No,"andujak2:No, eisq_art:No",0.9564814814814815,0.9622729389846297,1.0060549604098743,0.005756601508916326,1,2
"andujak2:No, diabetes:No",ant_isq:No,0.8611111111111112,0.9733124018838305,1.0063929095591546,0.005470036008230483,2,1
ant_isq:No,"andujak2:No, diabetes:No",0.8611111111111112,0.8903781713738631,1.0063929095591546,0.005470036008230483,1,2
diabetes:No,"andujak2:No, ant_isq:No",0.8611111111111112,0.9494640122511486,1.0063014065075961,0.005392232510288086,1,2
"andujak2:No, ant_isq:No",diabetes:No,0.8611111111111112,0.9126594700686949,1.0063014065075961,0.005392232510288086,2,1
"andujak2:No, ant_inf:No",ant_clau:No,0.9277777777777778,0.9847665847665847,1.0042945340395766,0.003967335390946514,2,1
ant_clau:No,"andujak2:No, ant_inf:No",0.9277777777777778,0.9461756373937678,1.0042945340395766,0.003967335390946514,1,2
"andujak2:No, e_con_pp:No",ant_isq:No,0.8643518518518518,0.9713839750260145,1.0043989401896558,0.003785579561042418,2,1
ant_isq:No,"andujak2:No, e_con_pp:No",0.8643518518518518,0.893729056965055,1.004398940189656,0.003785579561042418,1,2
e_con_pp:No,"andujak2:No, ant_clau:No",0.8759259259259259,0.9599188229325215,1.0040797373047199,0.0035590277777778345,1,2
"andujak2:No, ant_clau:No",e_con_pp:No,0.8759259259259259,0.9162227602905569,1.0040797373047199,0.0035590277777778345,2,1
"andujak2:No, e_con_pp:No",ant_clau:No,0.8759259259259259,0.9843912591050988,1.0039117656595908,0.0034130658436213324,2,1
ant_clau:No,"andujak2:No, e_con_pp:No",0.8759259259259259,0.8932955618508026,1.0039117656595908,0.0034130658436213324,1,2
e_con_pp:No,"andujak2:No, ant_isq:No",0.8643518518518518,0.9472349061390157,1.0039388602847272,0.0033912037037037157,1,2
"andujak2:No, ant_isq:No",e_con_pp:No,0.8643518518518518,0.9160942100098135,1.0039388602847272,0.0033912037037037157,2,1
diabetes:No,"andujak2:No, ant_clau:No",0.8703703703703703,0.9596733027054619,1.0038229219582555,0.00331468621399178,1,2
"andujak2:No, ant_clau:No",diabetes:No,0.8703703703703703,0.910411622276029,1.0038229219582555,0.00331468621399178,2,1
"andujak2:No, ant_inf:No",eisq_art:No,0.9268518518518518,0.9837837837837837,1.0032922440854453,0.003041409465020517,2,1
eisq_art:No,"andujak2:No, ant_inf:No",0.9268518518518518,0.9452313503305004,1.0032922440854453,0.003041409465020517,1,2
"ant_isq:No, diabetes:No",andujak2:No,0.8611111111111112,0.977404098791382,1.0034186565538903,0.0029338134430727525,2,1
andujak2:No,"ant_isq:No, diabetes:No",0.8611111111111112,0.8840304182509506,1.0034186565538903,0.0029338134430727525,1,2
"andujak2:No, diabetes:No",ant_clau:No,0.8703703703703703,0.9837781266352695,1.0032864747555157,0.0028510802469136065,2,1
ant_clau:No,"andujak2:No, diabetes:No",0.8703703703703703,0.8876298394711992,1.0032864747555157,0.0028510802469136065,1,2
"ant_isq:No, eisq_art:No",andujak2:No,0.9263888888888889,0.97705078125,1.0030559351235742,0.0028223593964334937,2,1
andujak2:No,"ant_isq:No, eisq_art:No",0.9263888888888889,0.9510456273764258,1.0030559351235742,0.0028223593964334937,1,2
