Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,True,56,2104,0,0,1.0,0.0,0.025925925925925925,,2160,0
Automatic Integer Score,1.0,score >= threshold,False,47,1356,748,9,0.8392857142857143,0.35551330798479086,0.03349964362081254,0.988110964332893,1403,757
Automatic Integer Score,2.0,score >= threshold,False,39,647,1457,17,0.6964285714285714,0.6924904942965779,0.056851311953352766,0.9884667571234735,686,1474
Automatic Integer Score,3.0,score >= threshold,False,28,242,1862,28,0.5,0.8849809885931559,0.1037037037037037,0.9851851851851852,270,1890
Automatic Integer Score,4.0,score >= threshold,False,18,64,2040,38,0.32142857142857145,0.9695817490494296,0.21951219512195122,0.9817131857555341,82,2078
Automatic Integer Score,5.0,score >= threshold,False,8,16,2088,48,0.14285714285714285,0.9923954372623575,0.3333333333333333,0.9775280898876404,24,2136
Automatic Integer Score,6.0,score >= threshold,False,2,0,2104,54,0.03571428571428571,1.0,1.0,0.9749768303985171,2,2158
Association-Guided Integer Score,0.0,score <= threshold,False,1,8,2096,55,0.017857142857142856,0.9961977186311787,0.1111111111111111,0.9744304974430498,9,2151
Association-Guided Integer Score,1.0,score <= threshold,False,6,69,2035,50,0.10714285714285714,0.9672053231939164,0.08,0.9760191846522782,75,2085
Association-Guided Integer Score,2.0,score <= threshold,False,8,86,2018,48,0.14285714285714285,0.9591254752851711,0.0851063829787234,0.9767666989351403,94,2066
Association-Guided Integer Score,3.0,score <= threshold,False,10,115,1989,46,0.17857142857142858,0.9453422053231939,0.08,0.9773955773955774,125,2035
Association-Guided Integer Score,4.0,score <= threshold,False,18,273,1831,38,0.32142857142857145,0.8702471482889734,0.061855670103092786,0.9796682718031032,291,1869
Association-Guided Integer Score,5.0,score <= threshold,False,20,332,1772,36,0.35714285714285715,0.8422053231939164,0.056818181818181816,0.9800884955752213,352,1808
Association-Guided Integer Score,6.0,score <= threshold,False,23,425,1679,33,0.4107142857142857,0.7980038022813688,0.05133928571428571,0.9807242990654206,448,1712
Association-Guided Integer Score,7.0,score <= threshold,False,29,638,1466,27,0.5178571428571429,0.6967680608365019,0.043478260869565216,0.9819156061620897,667,1493
Association-Guided Integer Score,8.0,score <= threshold,False,32,770,1334,24,0.5714285714285714,0.6340304182509505,0.0399002493765586,0.9823269513991163,802,1358
Association-Guided Integer Score,9.0,score <= threshold,False,33,864,1240,23,0.5892857142857143,0.5893536121673004,0.03678929765886288,0.9817893903404592,897,1263
Association-Guided Integer Score,10.0,score <= threshold,False,33,1103,1001,23,0.5892857142857143,0.47576045627376423,0.029049295774647887,0.9775390625,1136,1024
