Outcome,Model,Predicted_Probability,Observed_Frequency,Absolute_Error
Protein C deficiency,Automatic Integer Score,3.9071792318336034e-06,0.0,3.9071792318336034e-06
Protein C deficiency,Automatic Integer Score,2.1361339358811242e-05,0.0,2.1361339358811242e-05
Protein C deficiency,Automatic Integer Score,5.303038576151888e-05,0.0,5.303038576151888e-05
Protein C deficiency,Automatic Integer Score,0.0001054947084557408,0.00032216494845360824,0.00021667023999786744
Protein C deficiency,Automatic Integer Score,0.0001977539369410801,0.0003222687721559781,0.00012451483521489802
Protein C deficiency,Automatic Integer Score,0.00038395432926439525,0.00032216494845360824,6.178938081078701e-05
Protein C deficiency,Automatic Integer Score,0.0008842238360102959,0.0012890750886239124,0.00040485125261361657
Protein C deficiency,Automatic Integer Score,0.006504593187160526,0.006121134020618557,0.0003834591665419695
Protein C deficiency,Automatic Integer Score,0.22477422861514962,0.026748308088946182,0.19802592052620344
Protein C deficiency,Automatic Integer Score,0.8030764061609945,0.07957474226804123,0.7235016638929532
Protein C deficiency,Association-Guided Integer Score,0.19717755805060885,0.007031000319590924,0.19014655773101793
Protein C deficiency,Association-Guided Integer Score,0.2594801415991073,0.0031959092361776927,0.25628423236292963
Protein C deficiency,Association-Guided Integer Score,0.3068803743177713,0.004640371229698376,0.302240003088073
Protein C deficiency,Association-Guided Integer Score,0.34303329346208333,0.0061468780329990294,0.3368864154290843
Protein C deficiency,Association-Guided Integer Score,0.382342637861299,0.005415162454873646,0.37692747540642535
Protein C deficiency,Association-Guided Integer Score,0.4574024531399966,0.010220376876397317,0.4471820762635993
Protein C deficiency,Association-Guided Integer Score,0.5463882332974266,0.014290152221186705,0.5320980810762399
Protein C deficiency,Association-Guided Integer Score,0.5951441443936396,0.012535255405828893,0.5826088889878107
Protein C deficiency,Association-Guided Integer Score,0.6518265918035658,0.02685512367491166,0.6249714681286542
Protein C deficiency,Association-Guided Integer Score,0.7154868441187474,0.025823111684958037,0.6896637324337894
Protein C deficiency,Logistic Probability Benchmark,3.9071792318336034e-06,0.0,3.9071792318336034e-06
