Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,1498,2502,0,0,1.0,0.0,0.3745,,4000,0
Automatic Integer Score,1.0,score >= threshold,False,1481,1372,1130,17,0.9886515353805073,0.451638689048761,0.5191026989134244,0.985178727114211,2853,1147
Automatic Integer Score,2.0,score >= threshold,False,1455,198,2304,43,0.9712950600801068,0.920863309352518,0.8802177858439202,0.9816787388155092,1653,2347
Automatic Integer Score,3.0,score >= threshold,False,1444,7,2495,54,0.9639519359145527,0.9972022382094324,0.9951757408683667,0.9788152216555512,1451,2549
Automatic Integer Score,4.0,score >= threshold,False,1437,0,2502,61,0.959279038718291,1.0,1.0,0.9761997658993368,1437,2563
Automatic Integer Score,5.0,score >= threshold,False,1430,0,2502,68,0.9546061415220294,1.0,1.0,0.9735408560311284,1430,2570
Automatic Integer Score,6.0,score >= threshold,False,1426,0,2502,72,0.951935914552737,1.0,1.0,0.972027972027972,1426,2574
Automatic Integer Score,7.0,score >= threshold,True,1422,0,2502,76,0.9492656875834445,1.0,1.0,0.9705197827773467,1422,2578
Automatic Integer Score,8.0,score >= threshold,False,1345,0,2502,153,0.8978638184245661,1.0,1.0,0.9423728813559322,1345,2655
Automatic Integer Score,9.0,score >= threshold,False,1268,0,2502,230,0.8464619492656876,1.0,1.0,0.9158125915080527,1268,2732
Automatic Integer Score,10.0,score >= threshold,False,1056,0,2502,442,0.7049399198931909,1.0,1.0,0.8498641304347826,1056,2944
Automatic Integer Score,11.0,score >= threshold,False,855,0,2502,643,0.5707610146862483,1.0,1.0,0.7955484896661367,855,3145
Automatic Integer Score,12.0,score >= threshold,False,632,0,2502,866,0.4218958611481976,1.0,1.0,0.7428741092636579,632,3368
Automatic Integer Score,13.0,score >= threshold,False,485,0,2502,1013,0.32376502002670227,1.0,1.0,0.7118065433854908,485,3515
Automatic Integer Score,14.0,score >= threshold,False,428,0,2502,1070,0.2857142857142857,1.0,1.0,0.700447928331467,428,3572
Automatic Integer Score,15.0,score >= threshold,False,381,0,2502,1117,0.25433911882510013,1.0,1.0,0.6913512019894998,381,3619
Automatic Integer Score,16.0,score >= threshold,False,355,0,2502,1143,0.2369826435246996,1.0,1.0,0.6864197530864198,355,3645
Automatic Integer Score,17.0,score >= threshold,False,320,0,2502,1178,0.2136181575433912,1.0,1.0,0.6798913043478261,320,3680
Automatic Integer Score,18.0,score >= threshold,False,261,0,2502,1237,0.17423230974632845,1.0,1.0,0.6691628777748061,261,3739
Automatic Integer Score,19.0,score >= threshold,False,225,0,2502,1273,0.15020026702269693,1.0,1.0,0.6627814569536424,225,3775
Automatic Integer Score,20.0,score >= threshold,False,179,0,2502,1319,0.11949265687583445,1.0,1.0,0.6548024077466632,179,3821
Automatic Integer Score,21.0,score >= threshold,False,120,0,2502,1378,0.0801068090787717,1.0,1.0,0.6448453608247423,120,3880
Automatic Integer Score,22.0,score >= threshold,False,94,0,2502,1404,0.06275033377837116,1.0,1.0,0.6405529953917051,94,3906
Automatic Integer Score,23.0,score >= threshold,False,68,0,2502,1430,0.04539385847797063,1.0,1.0,0.6363173957273652,68,3932
Automatic Integer Score,24.0,score >= threshold,False,54,0,2502,1444,0.036048064085447265,1.0,1.0,0.6340598073998986,54,3946
Automatic Integer Score,25.0,score >= threshold,False,40,0,2502,1458,0.0267022696929239,1.0,1.0,0.6318181818181818,40,3960
Automatic Integer Score,26.0,score >= threshold,False,35,0,2502,1463,0.02336448598130841,1.0,1.0,0.6310214375788147,35,3965
Automatic Integer Score,27.0,score >= threshold,False,31,0,2502,1467,0.02069425901201602,1.0,1.0,0.6303854875283447,31,3969
Automatic Integer Score,28.0,score >= threshold,False,24,0,2502,1474,0.01602136181575434,1.0,1.0,0.6292756539235412,24,3976
Automatic Integer Score,29.0,score >= threshold,False,18,0,2502,1480,0.012016021361815754,1.0,1.0,0.628327473631341,18,3982
Automatic Integer Score,30.0,score >= threshold,False,13,0,2502,1485,0.008678237650200267,1.0,1.0,0.6275395033860045,13,3987
Automatic Integer Score,31.0,score >= threshold,False,9,0,2502,1489,0.006008010680907877,1.0,1.0,0.626910548734653,9,3991
Automatic Integer Score,33.0,score >= threshold,False,4,0,2502,1494,0.0026702269692923898,1.0,1.0,0.6261261261261262,4,3996
Automatic Integer Score,34.0,score >= threshold,False,3,0,2502,1495,0.0020026702269692926,1.0,1.0,0.6259694771078309,3,3997
Automatic Integer Score,35.0,score >= threshold,False,2,0,2502,1496,0.0013351134846461949,1.0,1.0,0.6258129064532266,2,3998
Automatic Integer Score,55.0,score >= threshold,False,1,0,2502,1497,0.0006675567423230974,1.0,1.0,0.6256564141035259,1,3999
