Variable,Tested,Not_Tested,Standardized_Difference
N,22874,96575,
"Age, mean (SD)",55.2 (18.1),67.7 (16.1),-0.7337508238608108
Female sex,10781 (47.1%),48943 (50.7%),-0.07099432910567761
Active cancer,2671 (11.7%),26850 (27.8%),-0.4136977459946279
Immobilization,4361 (19.1%),22903 (23.7%),-0.11357938361817287
Prior VTE,3062 (13.4%),12896 (13.4%),0.0009703935304798629
Known lupus,69 (0.3%),146 (0.2%),0.03166338290265254
Known APS,27 (0.1%),36 (0.0%),0.028995189354998046
"Hemoglobin, mean (SD)",13.46 (2.43),12.83 (2.43),0.26116694357110404
"Leukocytes, mean (SD)",210.62 (30241.75),11.83 (203.37),0.00929574670626218
"D-dimer, mean (SD)",1360.25 (66333.76),1013.08 (76199.68),0.00485976257450641
