Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,1.0,score >= threshold,False,1908,29563,0,0,1.0,0.0,0.06062724412951606,,31471,0
Automatic Integer Score,2.0,score >= threshold,False,1908,29546,17,0,1.0,0.0005750431282346176,0.06066001144528518,1.0,31454,17
Automatic Integer Score,3.0,score >= threshold,False,1908,20389,9174,0,1.0,0.31032033284849303,0.08557205005157645,1.0,22297,9174
Automatic Integer Score,4.0,score >= threshold,False,1908,15680,13883,0,1.0,0.4696072793694821,0.10848305662952012,1.0,17588,13883
Automatic Integer Score,5.0,score >= threshold,False,1908,6478,23085,0,1.0,0.780874742076244,0.2275220605771524,1.0,8386,23085
Automatic Integer Score,6.0,score >= threshold,False,1908,5963,23600,0,1.0,0.7982951662551162,0.24240884258671072,1.0,7871,23600
Automatic Integer Score,7.0,score >= threshold,False,1908,5729,23834,0,1.0,0.8062104657849338,0.2498363231635459,1.0,7637,23834
Automatic Integer Score,10.0,score >= threshold,False,1908,5722,23841,0,1.0,0.8064472482495011,0.25006553079947574,1.0,7630,23841
Automatic Integer Score,11.0,score >= threshold,True,1839,5642,23921,69,0.9638364779874213,0.8091533335588404,0.24582275096912176,0.9971238015839934,7481,23990
Automatic Integer Score,12.0,score >= threshold,False,1680,5007,24556,228,0.8805031446540881,0.8306328857017218,0.2512337371018394,0.9908005164622337,6687,24784
Automatic Integer Score,13.0,score >= threshold,False,1594,4688,24875,314,0.8354297693920335,0.8414234008727125,0.253740846864056,0.9875342411370043,6282,25189
Automatic Integer Score,14.0,score >= threshold,False,1290,4114,25449,618,0.6761006289308176,0.8608395629672225,0.2387120651369356,0.9762918632754057,5404,26067
Automatic Integer Score,15.0,score >= threshold,False,676,2142,27421,1232,0.35429769392033544,0.9275445658424382,0.23988644428672817,0.9570027571283984,2818,28653
Automatic Integer Score,16.0,score >= threshold,False,223,777,28786,1685,0.11687631027253668,0.9737171464330413,0.223,0.944701519477536,1000,30471
Automatic Integer Score,17.0,score >= threshold,False,120,404,29159,1788,0.06289308176100629,0.9863342691878362,0.22900763358778625,0.9422238019840372,524,30947
Automatic Integer Score,18.0,score >= threshold,False,52,147,29416,1856,0.027253668763102725,0.9950275682440889,0.2613065326633166,0.9406497825530826,199,31272
Automatic Integer Score,19.0,score >= threshold,False,8,23,29540,1900,0.0041928721174004195,0.9992220004735649,0.25806451612903225,0.9395674300254453,31,31440
Automatic Integer Score,20.0,score >= threshold,False,0,5,29558,1908,0.0,0.9998308696681663,0.0,0.9393631221000445,5,31466
Association-Guided Integer Score,0.0,score <= threshold,False,1106,14657,14906,802,0.5796645702306079,0.5042113452626594,0.07016430882446235,0.948943213649096,15763,15708
Association-Guided Integer Score,1.0,score <= threshold,True,1908,29563,0,0,1.0,0.0,0.06062724412951606,,31471,0
