cohort,variable,n,null_n,sentinel_n,explicit_unknown_or_not_performed_n,unavailable_n,unavailable_pct
full_raw,id_pacie,119449,0,0,0,0,0.0
full_raw,sexo,119449,0,0,0,0,0.0
full_raw,edad,119449,0,0,0,0,0.0
full_raw,raza,119449,71428,0,0,71428,59.79790538221334
full_raw,peso,119449,7,0,0,7,0.005860241609389781
full_raw,talla,119449,0,33840,0,33840,28.330082294535742
full_raw,tension_,119449,0,6114,0,6114,5.118502457115589
full_raw,fecha_di,119449,0,0,0,0,0.0
full_raw,f_alta_h,119449,50179,0,0,50179,42.00872338822426
full_raw,ant_inf,119449,29664,0,0,29664,24.834029585848356
full_raw,ant_isq,119449,29706,0,0,29706,24.86919103550469
full_raw,ant_clau,119449,30000,0,0,30000,25.115321183099066
full_raw,fum_act,119449,30876,0,0,30876,25.848688561645556
full_raw,diabetes,119449,29287,0,0,29287,24.518413716314075
full_raw,hip_art,119449,28050,0,0,28050,23.482825306197626
full_raw,insf_car,119449,2475,0,0,2475,2.072013997605673
full_raw,fibr_aur,119449,53577,0,0,53577,44.85345210089662
full_raw,trat_est,119449,30215,0,0,30215,25.295314318244603
full_raw,e_con_pp,119449,0,0,0,0,0.0
full_raw,e_con_cu,119449,0,0,0,0,0.0
full_raw,e_con_ec,119449,0,0,0,0,0.0
full_raw,e_con_lu,119449,0,0,0,0,0.0
full_raw,e_con_af,119449,0,0,0,0,0.0
full_raw,e_con_be,119449,0,0,0,0,0.0
full_raw,e_con_at,119449,0,0,0,0,0.0
full_raw,e_con_va,119449,0,0,0,0,0.0
full_raw,e_con_ar,119449,0,0,0,0,0.0
full_raw,e_con_ea,119449,0,0,0,0,0.0
full_raw,e_con_pr,119449,0,0,0,0,0.0
full_raw,e_con_ro,119449,0,0,0,0,0.0
full_raw,e_con_av,119449,0,0,0,0,0.0
full_raw,e_con_sm,119449,0,0,0,0,0.0
full_raw,sin_tvp_,119449,0,0,0,0,0.0
full_raw,var171,119449,7242,0,0,7242,6.062838533600114
full_raw,ep_tac,119449,27806,0,0,27806,23.278554027241753
full_raw,ep_tac_r,119449,57336,0,0,57336,48.00040184513893
full_raw,ep_tlss,119449,86159,0,0,86159,72.13036526048774
full_raw,ep_tls,119449,80645,0,0,80645,67.51416922703413
full_raw,ep_tll,119449,81425,0,0,81425,68.16716757779471
full_raw,ep_tlp,119449,83109,0,0,83109,69.57697427353934
full_raw,ep_tlce,119449,85719,0,0,85719,71.76200721646894
full_raw,eptacven,119449,112809,0,0,112809,94.44114224480741
full_raw,ep_t_reg,119449,98866,0,0,98866,82.76837813627573
full_raw,ep_ecoca,119449,39444,0,0,39444,33.02162429153865
full_raw,ep_ec_pr,119449,95750,0,0,95750,80.15973344272452
full_raw,ep_eco_p,119449,104478,0,0,104478,87.4666175522608
full_raw,ep_eco_v,119449,92975,0,0,92975,77.83656623328785
full_raw,var52,119449,94442,0,0,94442,79.06470543914139
