model,n_reported,positive_reported,ppv_reported,ppv_implied,npv_reported,npv_implied,avoided_per_1000_implied,missed_per_1000_implied
Composite XGB,22874,8345,0.402,0.38869039052089177,0.755,0.7650237665296418,155.26025181428696,36.482469178980494
Composite integer,22874,8345,0.384,0.3714058106814759,0.695,0.7064638374165757,84.51455801346505,24.808079041706723
APS XGB,10710,1908,0.123,0.32082648130025526,0.989,0.9643868661450126,500.24033613445374,17.815126050420165
APS integer,10710,1908,0.1,0.27089534115361374,0.987,0.9581946047376679,404.836974789916,16.924369747899156
FVL XGB,10638,2048,0.137,0.3551731279598595,0.989,0.9627475723231983,511.6236134611769,19.059221658206425
FVL integer,10638,2048,0.099,0.2746963371942192,0.99,0.9671405737453228,339.8114307200602,11.166008648242162
Prothrombin XGB,10376,1602,0.102,0.27858847671336306,0.991,0.9694702893660173,500.6624903623746,15.285080956052424
Prothrombin integer,10376,1602,0.076,0.21986069707526928,0.992,0.9727454764352716,339.89533538936007,9.263685427910572
Protein S XGB,10315,757,0.043,0.12734639937609213,0.995,0.9848877241569557,480.7640329617063,7.265438681531749
Protein S integer,10315,757,0.03,0.09206742119646867,0.993,0.977566220019747,268.24895782840525,6.017838099854578
Protein C XGB,10275,356,0.016,0.05111269825327171,0.997,0.9912617665468023,388.57119221411193,3.3954257907542567
Protein C integer,10275,356,0.013,0.042141070410601306,0.998,0.9920873942855872,218.93673965936742,1.7323600973236024
