variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Development eligible,Temporal eligible,2098,141,2098,141,0,0,939.0,57.0,44.75691134413727,40.42553191489361,0.08767867143283782,0.33633650997478776,,,,,,,,,,
sexo,Sex,Male,Development eligible,Temporal eligible,2098,141,2098,141,0,0,1159.0,84.0,55.24308865586273,59.57446808510638,-0.0876786714328377,0.33633650997478776,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Development eligible,Temporal eligible,2098,141,1423,127,675,14,37.0,4.0,2.600140548137737,3.149606299212598,-0.032886993365147055,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Development eligible,Temporal eligible,2098,141,1423,127,675,14,23.0,4.0,1.6163035839775124,3.149606299212598,-0.10065990635239568,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Development eligible,Temporal eligible,2098,141,1423,127,675,14,5.0,1.0,0.35137034434293746,0.7874015748031495,-0.05797443731042025,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Development eligible,Temporal eligible,2098,141,1423,127,675,14,1341.0,112.0,94.23752635277583,88.18897637795276,0.21488223155444172,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Negra,Development eligible,Temporal eligible,2098,141,1423,127,675,14,3.0,4.0,0.21082220660576245,3.149606299212598,-0.230155666969497,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Otras,Development eligible,Temporal eligible,2098,141,1423,127,675,14,2.0,0.0,0.14054813773717498,0.0,0.0530558109077291,0.0002323353914686823,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Development eligible,Temporal eligible,2098,141,1423,127,675,14,12.0,2.0,0.8432888264230498,1.574803149606299,-0.06697090685715636,0.0002323353914686823,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Development eligible,Temporal eligible,2098,141,2058,139,40,2,1992.0,131.0,96.7930029154519,94.24460431654677,0.12341022802592008,0.13684321815386769,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Development eligible,Temporal eligible,2098,141,2058,139,40,2,66.0,8.0,3.206997084548105,5.755395683453238,-0.12341022802592003,0.13684321815386769,,,,,,,,,,
ant_isq,Prior cerebral ischemia,No,Development eligible,Temporal eligible,2098,141,2057,139,41,2,1990.0,135.0,96.74282936315022,97.12230215827337,-0.022008196466719435,1.0,,,,,,,,,,
ant_isq,Prior cerebral ischemia,Yes,Development eligible,Temporal eligible,2098,141,2057,139,41,2,67.0,4.0,3.2571706368497813,2.877697841726619,0.022008196466719646,1.0,,,,,,,,,,
ant_clau,Peripheral arterial disease,No,Development eligible,Temporal eligible,2098,141,2057,139,41,2,2016.0,137.0,98.00680602819641,98.56115107913669,-0.04269493820754946,1.0,,,,,,,,,,
ant_clau,Peripheral arterial disease,Yes,Development eligible,Temporal eligible,2098,141,2057,139,41,2,41.0,2.0,1.9931939718035974,1.4388489208633095,0.04269493820754964,1.0,,,,,,,,,,
fum_act,Current smoking,No,Development eligible,Temporal eligible,2098,141,2045,137,53,4,1611.0,98.0,78.77750611246944,71.53284671532847,0.168248764587404,0.05350393455188177,,,,,,,,,,
fum_act,Current smoking,Yes,Development eligible,Temporal eligible,2098,141,2045,137,53,4,434.0,39.0,21.222493887530565,28.467153284671532,-0.16824876458740387,0.05350393455188177,,,,,,,,,,
diabetes,Diabetes,No,Development eligible,Temporal eligible,2098,141,2059,139,39,2,1867.0,125.0,90.6750849927149,89.92805755395683,0.025244850635789597,0.7632719671620742,,,,,,,,,,
diabetes,Diabetes,Yes,Development eligible,Temporal eligible,2098,141,2059,139,39,2,192.0,14.0,9.324915007285089,10.071942446043165,-0.025244850635789653,0.7632719671620742,,,,,,,,,,
