variable,p_value,selected,observed_n
sexo,0.7158646063504759,False,648
raza,0.4568891693676218,False,648
ant_inf,0.3292741449448213,False,648
ant_isq,0.4787978591519484,False,648
ant_clau,0.428073587915066,False,648
fum_act,0.3678527822816975,False,648
diabetes,0.6643247683836784,False,648
hip_art,0.7817228378881321,False,648
insf_car,0.2475081521869092,False,648
fibr_aur,0.09605404851985065,True,648
trat_est,0.06327201199777513,True,648
e_con_pp,0.15224392503106224,False,648
e_con_cu,0.6277518596549072,False,648
e_con_ec,0.7593663123199251,False,648
e_con_lu,0.7593663123199251,False,648
e_con_be,1.0,False,648
e_con_va,0.6277518596549072,False,648
e_con_ar,0.5658423424545772,False,648
e_con_ea,0.8285891955011443,False,648
e_con_pr,0.027334883694474094,True,648
e_con_av,1.0,False,648
e_con_sm,0.7593663123199251,False,648
sin_tvp_,0.029301337033130644,True,648
var171,0.19075703763869517,False,648
tv_l_esu,0.6739504787178341,False,648
tv_l_ein,0.012137272981980878,True,648
tv_l_svc,0.5951532944926936,False,648
tv_l_vre,0.29489161720636164,False,648
tv_l_vrn,0.7593663123199251,False,648
tv_l_ove,0.5039132720605692,False,648
fr_cance,0.0006248302967849793,True,648
fr_cirug,0.8072534434311808,False,648
fr_inmov,0.3069810819986928,False,648
fr_tvp_a,0.710638219772164,False,648
fr_tvs_a,0.20775743759924986,False,648
fr_viaje,0.3172766635040118,False,648
fr_estro,0.698998173437415,False,648
fr_embar,0.4920222411275411,False,648
fr_varic,0.13680579889562147,False,648
fr_antec,0.5658423424545772,False,648
ana_dime,0.6484393175868608,False,648
ana_crea,0.01999049535393505,True,648
edad,0.3353132892108685,False,648
peso,0.1425629708783723,False,648
tension_,0.24684545011024228,False,648
ana_hemo,0.7573344535139188,False,648
ana_plaq,0.0006895423585135496,True,648
ana_leuc,0.14008080510594434,False,648
female_under45,0.353676686629642,False,648
splanchnic,0.014778128498983105,True,648
