n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
21762,8200,7388,10980,2582,812,0.6047699094672705,0.2268589081798482,0.6445471273435704,155.95993015347852,37.312746990166346,0.9009756097560976,0.8943216361468451,0.9072540687236514,0.1903848989824509,0.1838653570610574,0.1970797892100199,0.4022212543554007,0.3951512086468656,0.4093321901430032,0.7607542722451385,0.7461117664864552,0.7748071820433926,0.0990243902439024,0.8096151010175491,1.1128443733617663,0.5201273355878407,0.5973724809681642,0.6116762271330223,0.6050475127954987,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,nested_cv,XGBoost,0.0839877922913985,0.0115085463587791
1085,345,287,518,222,58,0.5940070505287897,0.212192289753975,0.613709039558563,258.06451612903226,53.45622119815668,0.8318840579710145,0.7888158268321704,0.8676428428860606,0.3,0.2680847193072513,0.3339810213288161,0.3565217391304348,0.3241875908696888,0.3902187399620636,0.7928571428571428,0.7415816002770471,0.8362057345308699,0.1681159420289855,0.7,1.1884057971014494,0.5603864734299517,0.5634908441049746,0.6303957598903251,0.5940070505287897,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,temporal_holdout,XGBoost,0.0460448267590452,0.0310221809670672
10379,1973,1787,5630,2776,186,0.7191529196375673,0.1394901324858841,0.439853380821028,285.38394835725984,17.920801618653048,0.905727318803852,0.8920336647890538,0.9178441293336442,0.3302403045443731,0.3202660982115831,0.3403695970063605,0.2409329917756505,0.2313362459017137,0.2507979539292145,0.937204591492235,0.9278891391190738,0.9453874793249412,0.094272681196148,0.669759695455627,1.352316845801986,0.2854669157546182,0.7051548758887376,0.7300735571121392,0.7194397308565985,var156,Factor V Leiden,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0171894988155288,0.0099213594657436
239,72,71,167,0,1,0.5691533599467731,0.2085347996542381,0.6100727172597312,4.184100418410042,4.184100418410042,0.9861111111111112,0.9254339785252386,0.9975440481170944,0.0,0.0,0.0224855187213421,0.2983193277310924,0.2437714839634034,0.3592742449693836,0.0,0.0,0.7934506856227626,0.0138888888888888,1.0,0.9861111111111112,,0.4928414005322687,0.6454154191616767,0.5691533599467731,var156,Factor V Leiden,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.2498177005084751,0.0456098153813114
10134,1544,1399,6078,2512,145,0.6892936041426649,0.1217935937863414,0.3971597122802774,262.1866982435366,14.308269192816262,0.9060880829015544,0.8905131726554297,0.9196473207554569,0.2924330616996508,0.2829081353769567,0.3021435534298145,0.1871071285274843,0.17842873343337,0.1961068685097817,0.9454271735039518,0.9361295885124378,0.953438631402879,0.0939119170984456,0.7075669383003492,1.2805687120968003,0.321139875746675,0.6748230014265292,0.7016532697075163,0.6906383226408487,var157,Prothrombin G20210A,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0995184929797217,0.007290011843641
222,58,58,162,2,0,0.5536690496215307,0.1918188233876406,0.5699162062135767,9.00900900900901,0.0,1.0,0.9378821442127973,1.0,0.0121951219512195,0.0033507380935597,0.0433687010473451,0.2636363636363636,0.2098303207762516,0.3255551232432669,1.0,0.342380227506653,1.0,0.0,0.9878048780487804,1.0123456790123455,0.0,0.4817625105130361,0.6410875735912531,0.5536690496215307,var157,Prothrombin G20210A,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.117314753630452,0.0337611884214319
10417,1763,1587,5641,3013,176,0.7419704736225374,0.1240965705198369,0.4002710883640509,306.13420370548147,16.89545934530095,0.9001701644923426,0.8852951692206931,0.9133050633897608,0.3481626993297897,0.3381951519993497,0.358264986188724,0.21956281128943,0.2101700936923936,0.229253457959817,0.9448102853559108,0.9363364042163576,0.952213821840865,0.0998298355076574,0.6518373006702103,1.3809736932311174,0.286733287913464,0.7298449877308792,0.7536407644175441,0.7430015608707249,var161,Registry-coded APS,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.0277476140291454,0.0050152331777328
268,122,122,146,0,0,0.6832191780821918,0.2318905142756815,0.6562282615532916,0.0,0.0,1.0,0.969473821610987,1.0,0.0,0.0,0.0256368220846738,0.4552238805970149,0.3966545927768335,0.5150586532301694,,,,0.0,1.0,1.0,,0.6133063384235348,0.7506807208623401,0.6832191780821918,var161,Registry-coded APS,exploratory,sensitivity_native_missing,temporal_holdout,XGBoost,0.160669972138483,0.1113865516190209
10065,725,652,6688,2652,73,0.6747413423909031,0.0649177686334321,0.245525852614814,270.74018877297567,7.252856433184302,0.8993103448275862,0.8752582377407734,0.9191532120920256,0.2839400428265524,0.2748857613446585,0.2931719783133736,0.0888283378746594,0.0825331392642721,0.0955536925599422,0.973211009174312,0.9664501850385712,0.9786395312084656,0.1006896551724138,0.7160599571734475,1.2559148655337404,0.3546159047173246,0.656770285387285,0.6914672303034778,0.6759724580964336,var155,Protein S deficiency,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.1405615849816848,0.0013148515977953
230,31,31,198,1,0,0.5834008753444643,0.1172355077697437,0.3983472132447563,4.3478260869565215,0.0,1.0,0.889744604539564,1.0,0.0050251256281407,0.0008876095100409,0.0279105408023061,0.1353711790393013,0.0970334099345864,0.1857403673564978,1.0,0.2065493143772374,1.0,0.0,0.9949748743718592,1.005050505050505,0.0,0.4686294375101313,0.707428270384179,0.5834008753444643,var155,Protein S deficiency,exploratory,sensitivity_native_missing,temporal_holdout,XGBoost,0.0739423241131704,0.0446985424698694
