variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,2569.0,2222.0,44.103004291845494,49.70917225950783,-0.11251626739509706,1.680266057817995e-08,,,,,,,,,,
sexo,Sex,Male,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,3256.0,2248.0,55.896995708154506,50.29082774049217,0.11251626739509706,1.680266057817995e-08,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,28.0,39.0,1.9985724482512492,2.7659574468085104,-0.0503374745439357,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,17.0,22.0,1.2134189864382585,1.5602836879432624,-0.02966371243140485,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,7.0,4.0,0.4996431120628123,0.28368794326241137,0.034579841163962594,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,1326.0,1321.0,94.64668094218416,93.68794326241134,0.04091722845219984,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Negra,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,6.0,8.0,0.4282655246252677,0.5673758865248227,-0.01976641528495554,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Otras,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,0.0,3.0,0.0,0.2127659574468085,-0.06530231484483391,0.3148845351639478,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Complete cases,Excluded for missing predictors,5825,4470,1401,1410,4424,3060,17.0,13.0,1.2134189864382585,0.9219858156028369,0.028358841060633348,0.3148845351639478,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Complete cases,Excluded for missing predictors,5825,4470,2710,2662,3115,1808,2614.0,2550.0,96.45756457564576,95.79263711495116,0.03445800350637837,0.22919691365704625,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Complete cases,Excluded for missing predictors,5825,4470,2710,2662,3115,1808,96.0,112.0,3.5424354243542435,4.207362885048836,-0.03445800350637807,0.22919691365704625,,,,,,,,,,
ant_isq,Prior cerebral ischemia,No,Complete cases,Excluded for missing predictors,5825,4470,2702,2655,3123,1815,2605.0,2557.0,96.4100666173205,96.30885122410547,0.0054040331905970615,0.8840626526592648,,,,,,,,,,
ant_isq,Prior cerebral ischemia,Yes,Complete cases,Excluded for missing predictors,5825,4470,2702,2655,3123,1815,97.0,98.0,3.5899333826794964,3.6911487758945385,-0.005404033190597322,0.8840626526592648,,,,,,,,,,
ant_clau,Peripheral arterial disease,No,Complete cases,Excluded for missing predictors,5825,4470,2694,2657,3131,1813,2639.0,2601.0,97.9584261321455,97.89235980429055,0.004635170888535328,0.9236584003177278,,,,,,,,,,
ant_clau,Peripheral arterial disease,Yes,Complete cases,Excluded for missing predictors,5825,4470,2694,2657,3131,1813,55.0,56.0,2.0415738678544915,2.107640195709447,-0.004635170888535551,0.9236584003177278,,,,,,,,,,
fum_act,Current smoking,No,Complete cases,Excluded for missing predictors,5825,4470,2659,2624,3166,1846,2024.0,2099.0,76.11884166980067,79.9923780487805,-0.09369574665320286,0.0006967463651861139,,,,,,,,,,
