candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.49941194709205206,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.6057930977094007,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.6121744763094614,1.0,True,1,5,primary_complete_case,lasso,,,,,,,
3,0.6111521163350183,10.0,False,1,5,primary_complete_case,lasso,,,,,,,
0,0.49941194709205206,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.6134380704911147,0.1,False,2,5,primary_complete_case,lasso,,,,,,,
2,0.6200474318032464,1.0,False,2,5,primary_complete_case,lasso,,,,,,,
3,0.6203941080147892,10.0,True,2,5,primary_complete_case,lasso,,,,,,,
0,0.4991971397068176,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.6124147014414979,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.6167478653613271,1.0,True,3,5,primary_complete_case,lasso,,,,,,,
3,0.615130451250266,10.0,False,3,5,primary_complete_case,lasso,,,,,,,
0,0.5068583948384211,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.6118539826719076,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.623662018347996,1.0,True,4,5,primary_complete_case,lasso,,,,,,,
3,0.6228717072032682,10.0,False,4,5,primary_complete_case,lasso,,,,,,,
0,0.5060058883660611,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.6081330563320733,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.6186659038875524,1.0,False,5,5,primary_complete_case,lasso,,,,,,,
3,0.61895436772715,10.0,True,5,5,primary_complete_case,lasso,,,,,,,
0,0.6061580125379092,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6196258062751101,,True,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6188613517436973,,False,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6152107785666614,,False,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.617106027349946,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6229127470263931,,False,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6224083352759361,,False,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6231415846736342,,True,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6134698281394119,,False,3,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6183475965813838,,False,3,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6179505871575437,,False,3,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6184208950166761,,True,3,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6090630805763709,,False,4,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6209981763805631,,True,4,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6164297159272081,,False,4,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6148456711427197,,False,4,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6106991736686219,,False,5,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6180099157486156,,True,5,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6171965189465899,,False,5,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6161275645503725,,False,5,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.7062632167664608,,False,1,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.7150713804285048,,True,1,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
