variable,p_value,selected,observed_n
sexo,0.1861204877126673,False,5864
insf_car,0.02000291313525109,True,5864
e_con_pp,0.09238464296939541,True,5864
e_con_cu,0.931334827283187,False,5864
e_con_ec,0.18008819892776778,False,5864
e_con_lu,0.005977270612632984,True,5864
e_con_be,0.059429237500351645,True,5864
e_con_at,0.5854464795689691,False,5864
e_con_va,0.22205421243372725,False,5864
e_con_ar,0.22371233210502867,False,5864
e_con_ea,0.13622075095768216,False,5864
e_con_pr,0.13622075095768216,False,5864
e_con_ro,0.07232374629475496,True,5864
e_con_av,0.057561460796301714,True,5864
e_con_sm,0.5266817253705061,False,5864
sin_tvp_,1.0643274386724025e-05,True,5864
var171,7.167872163663077e-05,True,5864
tv_l_ein,1.0,False,5864
tvp_prox,0.00033906764766802514,True,5864
fr_cance,7.1513741090020895e-06,True,5864
fr_cirug,0.013102153878805721,True,5864
fr_inmov,0.0009169739829041407,True,5864
fr_tvp_a,0.0018192170014992956,True,5864
fr_viaje,0.01979442063378426,True,5864
fr_estro,2.826598464425843e-06,True,5864
fr_embar,0.004855300957699691,True,5864
fr_varic,0.002453049753821764,True,5864
fr_antec,0.9666393324922256,False,5864
ana_dime,0.00020388571286751562,True,5864
ana_crea,0.004852399334384802,True,5864
edad,3.0222449803561443e-19,True,5864
peso,0.01616207061889387,True,5864
tension_,0.3494036713179496,False,5864
ana_hemo,1.8335768355329228e-08,True,5864
ana_plaq,0.02923281684228397,True,5864
ana_leuc,0.3607575674950061,False,5864
female_under45,0.00047505874883479093,True,5864
