variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Development eligible,Temporal eligible,10417,268,10417,268,0,0,4856.0,108.0,46.616108284534896,40.298507462686565,0.1277074121105648,0.04085260489115597,,,,,,,,,,
sexo,Sex,Male,Development eligible,Temporal eligible,10417,268,10417,268,0,0,5561.0,160.0,53.383891715465104,59.70149253731343,-0.12770741211056466,0.04085260489115597,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,62.0,11.0,2.207977207977208,4.583333333333333,-0.1314329843900638,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,38.0,6.0,1.3532763532763532,2.5,-0.08349515667992025,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,9.0,2.0,0.3205128205128205,0.8333333333333334,-0.06775040150832992,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,2663.0,211.0,94.83618233618233,87.91666666666667,0.24839268405192155,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Negra,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,8.0,5.0,0.2849002849002849,2.083333333333333,-0.16683586619893695,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Otras,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,4.0,0.0,0.14245014245014245,0.0,0.05341410906376335,3.057042310515914e-05,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Development eligible,Temporal eligible,10417,268,2808,240,7609,28,24.0,5.0,0.8547008547008548,2.083333333333333,-0.10225606069058049,3.057042310515914e-05,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Development eligible,Temporal eligible,10417,268,5474,263,4943,5,5268.0,251.0,96.23675557179394,95.43726235741445,0.04003431566883894,0.5066457420224508,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Development eligible,Temporal eligible,10417,268,5474,263,4943,5,206.0,12.0,3.7632444282060655,4.562737642585551,-0.04003431566883942,0.5066457420224508,,,,,,,,,,
ant_isq,Prior cerebral ischemia,No,Development eligible,Temporal eligible,10417,268,5459,263,4958,5,5255.0,256.0,96.26305184099651,97.33840304182509,-0.061134757442495295,0.5006367912756132,,,,,,,,,,
ant_isq,Prior cerebral ischemia,Yes,Development eligible,Temporal eligible,10417,268,5459,263,4958,5,204.0,7.0,3.73694815900348,2.6615969581749046,0.06113475744249515,0.5006367912756132,,,,,,,,,,
ant_clau,Peripheral arterial disease,No,Development eligible,Temporal eligible,10417,268,5451,263,4966,5,5335.0,260.0,97.87195010089891,98.85931558935361,-0.07793111372325884,0.3758970738859655,,,,,,,,,,
ant_clau,Peripheral arterial disease,Yes,Development eligible,Temporal eligible,10417,268,5451,263,4966,5,116.0,3.0,2.1280498991010823,1.1406844106463878,0.07793111372325881,0.3758970738859655,,,,,,,,,,
fum_act,Current smoking,No,Development eligible,Temporal eligible,10417,268,5386,262,5031,6,4237.0,200.0,78.66691422205719,76.33587786259542,0.0558451853800923,0.35612330532501957,,,,,,,,,,
fum_act,Current smoking,Yes,Development eligible,Temporal eligible,10417,268,5386,262,5031,6,1149.0,62.0,21.333085777942813,23.66412213740458,-0.055845185380092505,0.35612330532501957,,,,,,,,,,
diabetes,Diabetes,No,Development eligible,Temporal eligible,10417,268,5503,261,4914,7,4957.0,240.0,90.07813919680174,91.95402298850574,-0.06563684625241134,0.3939491293190816,,,,,,,,,,
diabetes,Diabetes,Yes,Development eligible,Temporal eligible,10417,268,5503,261,4914,7,546.0,21.0,9.921860803198255,8.045977011494253,0.06563684625241134,0.3939491293190816,,,,,,,,,,
hip_art,Hypertension,No,Development eligible,Temporal eligible,10417,268,5607,264,4810,4,3680.0,179.0,65.6322454075263,67.8030303030303,-0.04607916762208392,0.5071305790627008,,,,,,,,,,
hip_art,Hypertension,Yes,Development eligible,Temporal eligible,10417,268,5607,264,4810,4,1927.0,85.0,34.367754592473695,32.196969696969695,0.04607916762208393,0.5071305790627008,,,,,,,,,,
insf_car,Heart failure,No,Development eligible,Temporal eligible,10417,268,10398,261,19,7,10090.0,254.0,97.03789190228889,97.31800766283524,-0.01691557802740631,1.0,,,,,,,,,,
insf_car,Heart failure,Yes,Development eligible,Temporal eligible,10417,268,10398,261,19,7,308.0,7.0,2.9621080977110985,2.681992337164751,0.016915578027406085,1.0,,,,,,,,,,
fibr_aur,Atrial fibrillation,No,Development eligible,Temporal eligible,10417,268,3111,261,7306,7,3028.0,257.0,97.33204757312761,98.46743295019157,-0.07924222122754768,0.4121030783379178,,,,,,,,,,
fibr_aur,Atrial fibrillation,Yes,Development eligible,Temporal eligible,10417,268,3111,261,7306,7,83.0,4.0,2.667952426872388,1.532567049808429,0.07924222122754782,0.4121030783379178,,,,,,,,,,
trat_est,Statin treatment,No,Development eligible,Temporal eligible,10417,268,5429,262,4988,6,4552.0,221.0,83.84601215693498,84.35114503816794,-0.013813498873363233,0.9314396146581314,,,,,,,,,,
trat_est,Statin treatment,Yes,Development eligible,Temporal eligible,10417,268,5429,262,4988,6,877.0,41.0,16.15398784306502,15.648854961832063,0.013813498873363157,0.9314396146581314,,,,,,,,,,
e_con_pp,Chronic lung disease,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,9595.0,254.0,92.10905251031967,94.77611940298507,-0.10790120784105807,0.13275028238442485,,,,,,,,,,
e_con_pp,Chronic lung disease,Yes,Development eligible,Temporal eligible,10417,268,10417,268,0,0,822.0,14.0,7.890947489680331,5.223880597014925,0.10790120784105814,0.13275028238442485,,,,,,,,,,
e_con_cu,Ulcerative colitis,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,10382.0,266.0,99.66401075165595,99.25373134328358,0.05594708040503934,0.23736678588054616,,,,,,,,,,
e_con_cu,Ulcerative colitis,Yes,Development eligible,Temporal eligible,10417,268,10417,268,0,0,35.0,2.0,0.33598924834405297,0.7462686567164178,-0.055947080405038374,0.23736678588054616,,,,,,,,,,
e_con_ec,Crohn disease,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,10383.0,267.0,99.67361044446578,99.6268656716418,0.007917918201608474,0.5895490414430401,,,,,,,,,,
e_con_ec,Crohn disease,Yes,Development eligible,Temporal eligible,10417,268,10417,268,0,0,34.0,1.0,0.3263895555342229,0.3731343283582089,-0.007917918201609283,0.5895490414430401,,,,,,,,,,
e_con_lu,Known lupus,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,10384.0,266.0,99.68321013727561,99.25373134328358,0.05909148338043289,0.2187477324510072,,,,,,,,,,
e_con_lu,Known lupus,Yes,Development eligible,Temporal eligible,10417,268,10417,268,0,0,33.0,2.0,0.31678986272439286,0.7462686567164178,-0.05909148338043352,0.2187477324510072,,,,,,,,,,
e_con_be,Behcet disease,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,10406.0,268.0,99.89440337909187,100.0,-0.04598004898717067,1.0,,,,,,,,,,
e_con_be,Behcet disease,Yes,Development eligible,Temporal eligible,10417,268,10417,268,0,0,11.0,0.0,0.10559662090813093,0.0,0.045980048987170286,1.0,,,,,,,,,,
e_con_at,Temporal arteritis,No,Development eligible,Temporal eligible,10417,268,10417,268,0,0,10412.0,268.0,99.95200153595086,100.0,-0.030990809488655714,1.0,,,,,,,,,,
