antecedents,consequents,support,confidence,lift,leverage,antecedent_len,consequent_len
"evn_hemo:No, fr_cance:No",evn_defu:No,0.6504,0.9342143062338407,1.1040112340272286,0.06127556000000001,2,1
evn_defu:No,"evn_hemo:No, fr_cance:No",0.6504,0.7686126211297566,1.1040112340272286,0.06127556000000001,1,2
"ant_isq:No, fr_cance:No",evn_defu:No,0.6578,0.9317280453257791,1.1010730859439604,0.06038280000000007,2,1
evn_defu:No,"ant_isq:No, fr_cance:No",0.6578,0.777357598676436,1.1010730859439604,0.06038280000000007,1,2
fr_cance:No,"evn_defu:No, evn_hemo:No",0.6504,0.8765498652291105,1.1017469397047643,0.06006480000000003,1,2
"evn_defu:No, evn_hemo:No",fr_cance:No,0.6504,0.8174962292609351,1.1017469397047643,0.06006480000000003,2,1
"e_con_va:No, fr_cance:No",evn_defu:No,0.6846,0.9263870094722598,1.0947612969419285,0.05925820000000004,2,1
evn_defu:No,"e_con_va:No, fr_cance:No",0.6846,0.8090285984400851,1.0947612969419285,0.05925820000000004,1,2
"e_con_pr:No, fr_cance:No",evn_defu:No,0.6822,0.9263986963606735,1.0947751079658161,0.05905832,2,1
evn_defu:No,"e_con_pr:No, fr_cance:No",0.6822,0.806192389506027,1.0947751079658161,0.05905832,1,2
evn_defu:Sí,"fr_antfa:No, fr_cance:Sí",0.0984,0.6397919375812744,2.497236290325037,0.058996440000000004,1,2
"e_con_at:No, fr_cance:No",evn_defu:No,0.6858,0.9257559395248379,1.0940155276823895,0.05893503999999994,2,1
evn_defu:No,"e_con_at:No, fr_cance:No",0.6858,0.8104467029071142,1.0940155276823895,0.05893503999999994,1,2
"e_con_pr:No, evn_defu:Sí",fr_cance:Sí,0.0982,0.6443569553805774,2.497507578994486,0.05888079999999999,2,1
"e_con_at:No, evn_defu:Sí",fr_cance:Sí,0.0984,0.6414602346805737,2.4862799793820685,0.0588228,2,1
evn_defu:Sí,"e_con_ec:No, fr_cance:Sí",0.0984,0.6397919375812744,2.485594163097414,0.058811880000000004,1,2
"evn_defu:Sí, fr_antfa:No",fr_cance:Sí,0.0984,0.6406250000000001,2.483042635658915,0.0587712,2,1
"e_con_ec:No, evn_defu:Sí",fr_cance:Sí,0.0984,0.6406250000000001,2.483042635658915,0.0587712,2,1
evn_defu:Sí,"e_con_at:No, fr_cance:Sí",0.0984,0.6397919375812744,2.4817375391050214,0.05875036000000001,1,2
"e_con_lu:No, evn_defu:Sí",fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,2,1
evn_defu:Sí,"e_con_lu:No, fr_cance:Sí",0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,2
"e_con_av:No, evn_defu:Sí",fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,2,1
evn_defu:Sí,"e_con_av:No, fr_cance:Sí",0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,2
"e_h4_fec:Missing, evn_defu:Sí",fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,2,1
evn_defu:Sí,"e_h4_fec:Missing, fr_cance:Sí",0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,2
"evn_defu:Sí, evn_re4f:Missing",fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,2,1
evn_defu:Sí,"evn_re4f:Missing, fr_cance:Sí",0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,2
"e_con_be:No, evn_defu:Sí",fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,2,1
evn_defu:Sí,"e_con_be:No, fr_cance:Sí",0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,2
evn_defu:Sí,fr_cance:Sí,0.0984,0.6397919375812744,2.479813711555327,0.058719600000000004,1,1
