Outcome,Column,Model,Predicted_Probability,Observed_Frequency,Absolute_Error
Protein C deficiency,var154,Automatic Integer Score,0.03368739577327256,0.0,0.03368739577327256
Protein C deficiency,var154,Automatic Integer Score,0.0766640602743989,0.0003257328990228013,0.0763383273753761
Protein C deficiency,var154,Automatic Integer Score,0.11814861326738754,0.0,0.11814861326738754
Protein C deficiency,var154,Automatic Integer Score,0.1647566400450037,0.001954397394136808,0.1628022426508669
Protein C deficiency,var154,Automatic Integer Score,0.22148688400170913,0.003257328990228013,0.2182295550114811
Protein C deficiency,var154,Automatic Integer Score,0.29346524593037604,0.0035830618892508143,0.2898821840411252
Protein C deficiency,var154,Automatic Integer Score,0.3857393661742507,0.009446254071661237,0.3762931121025895
Protein C deficiency,var154,Automatic Integer Score,0.5010252306837852,0.013029315960912053,0.4879959147228732
Protein C deficiency,var154,Automatic Integer Score,0.6403627862681408,0.026384364820846905,0.6139784214472939
Protein C deficiency,var154,Automatic Integer Score,0.8438786862904785,0.05211726384364821,0.7917614224468302
Protein C deficiency,var154,Association-Guided Integer Score,0.2165750184109101,0.0041459369817578775,0.2124290814291522
Protein C deficiency,var154,Association-Guided Integer Score,0.2553381447528943,0.0029553010712966383,0.25238284368159764
Protein C deficiency,var154,Association-Guided Integer Score,0.31833323638431177,0.005721291377196567,0.3126119450071152
Protein C deficiency,var154,Association-Guided Integer Score,0.3506754748317687,0.004349401957230881,0.3463260728745378
Protein C deficiency,var154,Association-Guided Integer Score,0.3777209059578835,0.006839945280437756,0.37088096067744575
Protein C deficiency,var154,Association-Guided Integer Score,0.4624570711796497,0.009987113402061855,0.4524699577775878
Protein C deficiency,var154,Association-Guided Integer Score,0.5564358693955066,0.011393229166666666,0.54504264022884
Protein C deficiency,var154,Association-Guided Integer Score,0.5927288334864064,0.014760147601476014,0.5779686858849303
Protein C deficiency,var154,Association-Guided Integer Score,0.6620781864422917,0.02488425925925926,0.6371939271830324
Protein C deficiency,var154,Association-Guided Integer Score,0.7134241695661834,0.027356902356902357,0.686067267209281
Protein S deficiency,var155,Automatic Integer Score,0.0722252633973816,0.0003257328990228013,0.0718995304983588
Protein S deficiency,var155,Automatic Integer Score,0.12137472732994646,0.0026058631921824105,0.11876886413776405
Protein S deficiency,var155,Automatic Integer Score,0.1600335674994485,0.004234527687296417,0.15579903981215207
Protein S deficiency,var155,Automatic Integer Score,0.19998853183900903,0.005537459283387622,0.1944510725556214
Protein S deficiency,var155,Automatic Integer Score,0.24524682597676276,0.005211726384364821,0.24003509959239794
Protein S deficiency,var155,Automatic Integer Score,0.30378069745321457,0.011074918566775244,0.29270577888643934
Protein S deficiency,var155,Automatic Integer Score,0.3891619214693865,0.014332247557003257,0.37482967391238325
Protein S deficiency,var155,Automatic Integer Score,0.5048353545290296,0.03420195439739414,0.47063340013163546
Protein S deficiency,var155,Automatic Integer Score,0.6469120090625721,0.05439739413680782,0.5925146149257643
Protein S deficiency,var155,Automatic Integer Score,0.8423820634842368,0.10586319218241043,0.7365188713018264
Protein S deficiency,var155,Association-Guided Integer Score,0.22241294075382156,0.008821855435401251,0.2135910853184203
Protein S deficiency,var155,Association-Guided Integer Score,0.318305981170122,0.013865779256794232,0.30444020191332777
Protein S deficiency,var155,Association-Guided Integer Score,0.33840153107001153,0.007613247049866768,0.33078828402014476
Protein S deficiency,var155,Association-Guided Integer Score,0.36310046560207954,0.01301077454767229,0.35008969105440724
Protein S deficiency,var155,Association-Guided Integer Score,0.3715231645183154,0.011627906976744186,0.3598952575415712
Protein S deficiency,var155,Association-Guided Integer Score,0.43086482405636034,0.018509498295177788,0.41235532576118256
Protein S deficiency,var155,Association-Guided Integer Score,0.5070558343175092,0.025905118601747816,0.4811507157157614
Protein S deficiency,var155,Association-Guided Integer Score,0.5478201670564096,0.02450486740516952,0.52331529965124
Protein S deficiency,var155,Association-Guided Integer Score,0.6758418923721874,0.04491498235482836,0.630926910017359
Protein S deficiency,var155,Association-Guided Integer Score,0.7268943713521013,0.0712597095575819,0.6556346617945195
Factor V Leiden,var156,Automatic Integer Score,0.030343536998694375,0.000977198697068404,0.02936633830162597
Factor V Leiden,var156,Automatic Integer Score,0.06800282491100951,0.001954397394136808,0.0660484275168727
Factor V Leiden,var156,Automatic Integer Score,0.1059453542289423,0.006188925081433224,0.09975642914750908
Factor V Leiden,var156,Automatic Integer Score,0.14985585279254196,0.00749185667752443,0.14236399611501754
Factor V Leiden,var156,Automatic Integer Score,0.20713851796586483,0.014332247557003257,0.19280627040886156
Factor V Leiden,var156,Automatic Integer Score,0.28783768895727185,0.031270358306188926,0.25656733065108295
Factor V Leiden,var156,Automatic Integer Score,0.3958990532892445,0.04527687296416938,0.35062218032507514
Factor V Leiden,var156,Automatic Integer Score,0.527404707713696,0.08403908794788274,0.44336561976581323
Factor V Leiden,var156,Automatic Integer Score,0.6750662644328895,0.15863192182410424,0.5164343426087853
Factor V Leiden,var156,Automatic Integer Score,0.8733945768851824,0.2947882736156352,0.5786063032695472
