variable_a,variable_b,cramers_v
e_con_ea,e_con_ec,0.16521063745200434
e_con_af,e_con_lu,0.14733341536604072
ant_inf,diabetes,0.14485540914808193
ant_clau,ant_inf,0.13950946744559878
ant_isq,diabetes,0.11882333372710542
ant_clau,diabetes,0.09936093121454179
e_con_ar,e_con_ea,0.09098400684151355
ant_inf,ant_isq,0.09080811269239022
ant_inf,e_con_pp,0.08226734637097856
ant_clau,ant_isq,0.07524746297829692
ana_dura,e_con_pp,0.07335173957473934
ana_dura,diabetes,0.06879575842772213
ant_inf,eisq_ang,0.06710208165518025
ant_clau,e_con_pp,0.06528864146981461
e_con_pp,eisq_ang,0.06522260280343237
e_con_at,e_con_pr,0.06230486438323773
ant_isq,e_con_pp,0.04973268346863096
e_con_lu,e_con_va,0.049634949283324174
ana_dura,ant_inf,0.0482081873463865
ant_clau,e_con_af,0.042509360345261954
ana_dura,ant_isq,0.04202031342766325
diabetes,e_con_at,0.0403959464367056
ana_dura,e_con_ar,0.04003285097334081
diabetes,eisq_ang,0.0390562624784201
diabetes,e_con_pp,0.03870395913162503
