threshold,n,tp,fp,net_benefit,test_all_net_benefit,test_none_net_benefit,net_tests_avoided_per_1000,outcome,validation,model
0.01,21762,8200,13562,0.37050868950510524,0.3705086895051053,0.0,-5.495603971894524e-12,ana_dura,nested_cv,MI continuous XGBoost
0.02,21762,8200,13562,0.3640853087857696,0.3640853087857696,0.0,0.0,ana_dura,nested_cv,MI continuous XGBoost
0.03,21762,8200,13562,0.35752948722686,0.35752948722686007,0.0,-1.7948605564773361e-12,ana_dura,nested_cv,MI continuous XGBoost
0.04,21762,8200,13562,0.3508370860521398,0.3508370860521398,0.0,0.0,ana_dura,nested_cv,MI continuous XGBoost
0.05,21762,8200,13562,0.3440037922211097,0.3440037922211097,0.0,0.0,ana_dura,nested_cv,MI continuous XGBoost
0.06,21762,8200,13558,0.33703684149806323,0.3370251091596322,0.0,0.18380663541974393,ana_dura,nested_cv,MI continuous XGBoost
0.07,21762,8200,13543,0.3299620627057325,0.32989634689253144,0.0,0.8730815182422323,ana_dura,nested_cv,MI continuous XGBoost
0.08,21762,8200,13519,0.3227844307788207,0.3226126115326677,0.0,1.9759213307595502,ana_dura,nested_cv,MI continuous XGBoost
0.09,21762,8200,13507,0.31541875090262184,0.3151687940769827,0.0,2.5273412370182116,ana_dura,nested_cv,MI continuous XGBoost
0.1,21762,8200,13486,0.30794759468594596,0.30755955845561583,0.0,3.4923260729711187,ana_dura,nested_cv,MI continuous XGBoost
0.11,21762,8200,13467,0.3003188735338065,0.29977932877534186,0.0,4.3654075912138035,ana_dura,nested_cv,MI continuous XGBoost
0.12,21762,8200,13443,0.2925679457937522,0.2918222756932435,0.0,5.46824740373079,ana_dura,nested_cv,MI continuous XGBoost
0.13,21762,8200,13422,0.2846435894266818,0.28368230185063703,0.0,6.43323223968406,ana_dura,nested_cv,MI continuous XGBoost
0.14,21762,8200,13391,0.2766321922360932,0.27535302629076075,0.0,7.85773366418505,ana_dura,nested_cv,MI continuous XGBoost
0.15,21762,8200,13368,0.26840093633262513,0.2668277677765344,0.0,8.914621817847541,ana_dura,nested_cv,MI continuous XGBoost
0.16,21762,8200,13346,0.259990109452475,0.2580995269167312,0.0,9.925558312655012,ana_dura,nested_cv,MI continuous XGBoost
0.17,21762,8200,13324,0.25140097196062994,0.24916096700006535,0.0,10.93649480746241,ana_dura,nested_cv,MI continuous XGBoost
0.18,21762,8197,13306,0.24244879752354184,0.24000439342689545,0.0,11.135618662500253,ana_dura,nested_cv,MI continuous XGBoost
0.19,21762,8195,13276,0.2334747055973659,0.23062173161735094,0.0,12.162678546379595,ana_dura,nested_cv,MI continuous XGBoost
0.2,21762,8189,13243,0.2241636798088411,0.22100450326256782,0.0,12.63670618509316,ana_dura,nested_cv,MI continuous XGBoost
0.21,21762,8180,13212,0.21450001686833048,0.21114380077222059,0.0,12.625765313937217,ana_dura,nested_cv,MI continuous XGBoost
0.22,21762,8170,13161,0.204848960432087,0.2010302597564798,0.0,13.539029668061854,ana_dura,nested_cv,MI continuous XGBoost
0.23,21762,8159,13101,0.1950976144524532,0.19065402936370685,0.0,14.87635007971602,ana_dura,nested_cv,MI continuous XGBoost
0.24,21762,8142,13023,0.18516100010157738,0.1800047402763872,0.0,16.32815611310227,ana_dura,nested_cv,MI continuous XGBoost
0.25,21762,8114,12943,0.17460098642894342,0.169071470146739,0.0,16.588548846613232,ana_dura,nested_cv,MI continuous XGBoost
0.26,21762,8088,12837,0.16440137407879343,0.15784270622980304,0.0,18.666977724049588,ana_dura,nested_cv,MI continuous XGBoost
0.27,21762,8042,12699,0.15371333466781983,0.1463063049452798,0.0,20.026413694274915,ana_dura,nested_cv,MI continuous XGBoost
0.28,21762,7986,12551,0.14268245361435322,0.13444944806951978,0.0,21.170585686714567,ana_dura,nested_cv,MI continuous XGBoost
0.29,21762,7887,12352,0.13058620078156652,0.12225859522542853,0.0,20.38827567192403,ana_dura,nested_cv,MI continuous XGBoost
0.3,21762,7756,12099,0.11812858587052133,0.10971943230007752,0.0,19.621358331035545,ana_dura,nested_cv,MI continuous XGBoost
0.31,21762,7572,11777,0.104810406119429,0.09681681537689019,0.0,17.792185846296075,ana_dura,nested_cv,MI continuous XGBoost
0.32,21762,7358,11318,0.09336836471561326,0.08353470972066801,0.0,20.89651686425865,ana_dura,nested_cv,MI continuous XGBoost
0.33,21762,7059,10757,0.0809105835586336,0.06985612329858842,0.0,22.443904164334153,ana_dura,nested_cv,MI continuous XGBoost
