outcome,variable,selected,imputation
andujak2,sexo,False,1
andujak2,raza,True,1
andujak2,ant_inf,False,1
andujak2,ant_isq,False,1
andujak2,ant_clau,True,1
andujak2,fum_act,False,1
andujak2,diabetes,False,1
andujak2,hip_art,True,1
andujak2,insf_car,False,1
andujak2,fibr_aur,True,1
andujak2,trat_est,False,1
andujak2,e_con_pp,False,1
andujak2,e_con_cu,False,1
andujak2,e_con_ec,True,1
andujak2,e_con_lu,False,1
andujak2,e_con_be,False,1
andujak2,e_con_va,False,1
andujak2,e_con_ar,False,1
andujak2,e_con_ea,False,1
andujak2,e_con_pr,False,1
andujak2,e_con_av,False,1
andujak2,e_con_sm,False,1
andujak2,sin_tvp_,False,1
andujak2,var171,False,1
andujak2,tv_l_esu,False,1
andujak2,tvp_orig,False,1
andujak2,tv_l_ein,False,1
andujak2,tvp_prox,False,1
andujak2,tv_l_svc,False,1
andujak2,tv_l_vre,False,1
andujak2,tv_l_vrn,False,1
andujak2,tv_l_vca,False,1
andujak2,tv_l_yug,True,1
andujak2,tv_l_ova,False,1
andujak2,tv_l_sup,False,1
andujak2,tv_l_pul,False,1
andujak2,tv_l_ove,False,1
andujak2,fr_cance,False,1
andujak2,fr_cirug,False,1
andujak2,fr_inmov,False,1
andujak2,fr_tvp_a,False,1
andujak2,fr_antfa,False,1
andujak2,fr_tvs_a,False,1
andujak2,fr_viaje,False,1
andujak2,fr_estro,False,1
andujak2,fr_embar,False,1
andujak2,fr_varic,False,1
andujak2,fr_antec,False,1
andujak2,ana_dime,False,1
andujak2,ana_crea,True,1
andujak2,ana_trop,False,1
andujak2,edad,True,1
andujak2,peso,False,1
andujak2,tension_,False,1
andujak2,ana_hemo,True,1
andujak2,ana_plaq,True,1
andujak2,ana_leuc,True,1
andujak2,ana_neu,False,1
andujak2,protcrea,False,1
andujak2,splanchnic,True,1
andujak2,sexo,False,2
andujak2,raza,True,2
andujak2,ant_inf,False,2
andujak2,ant_isq,False,2
andujak2,ant_clau,True,2
andujak2,fum_act,False,2
andujak2,diabetes,False,2
andujak2,hip_art,True,2
andujak2,insf_car,False,2
andujak2,fibr_aur,True,2
andujak2,trat_est,False,2
andujak2,e_con_pp,False,2
andujak2,e_con_cu,False,2
andujak2,e_con_ec,True,2
andujak2,e_con_lu,False,2
andujak2,e_con_be,False,2
andujak2,e_con_va,False,2
andujak2,e_con_ar,False,2
andujak2,e_con_ea,False,2
andujak2,e_con_pr,False,2
andujak2,e_con_av,False,2
andujak2,e_con_sm,False,2
andujak2,sin_tvp_,False,2
andujak2,var171,False,2
andujak2,tv_l_esu,False,2
andujak2,tvp_orig,False,2
andujak2,tv_l_ein,True,2
andujak2,tvp_prox,False,2
andujak2,tv_l_svc,False,2
andujak2,tv_l_vre,False,2
andujak2,tv_l_vrn,False,2
andujak2,tv_l_vca,False,2
andujak2,tv_l_yug,False,2
andujak2,tv_l_ova,False,2
andujak2,tv_l_sup,False,2
andujak2,tv_l_pul,False,2
andujak2,tv_l_ove,False,2
andujak2,fr_cance,True,2
andujak2,fr_cirug,False,2
andujak2,fr_inmov,False,2
