outcome,variable,selection_fraction,selected_imputations,imputations
andujak2,ana_crea,1.0,20,20
andujak2,ana_dime,0.0,0,20
andujak2,ana_hemo,1.0,20,20
andujak2,ana_leuc,0.5,10,20
andujak2,ana_neu,0.75,15,20
andujak2,ana_plaq,1.0,20,20
andujak2,ana_trop,0.0,0,20
andujak2,ant_clau,0.9,18,20
andujak2,ant_inf,0.0,0,20
andujak2,ant_isq,0.15,3,20
andujak2,diabetes,0.0,0,20
andujak2,e_con_ar,0.0,0,20
andujak2,e_con_av,0.0,0,20
andujak2,e_con_be,0.0,0,20
andujak2,e_con_cu,0.0,0,20
andujak2,e_con_ea,0.0,0,20
andujak2,e_con_ec,1.0,20,20
andujak2,e_con_lu,0.0,0,20
andujak2,e_con_pp,0.0,0,20
andujak2,e_con_pr,0.0,0,20
andujak2,e_con_sm,0.0,0,20
andujak2,e_con_va,0.0,0,20
andujak2,edad,1.0,20,20
andujak2,fibr_aur,0.95,19,20
andujak2,fr_antec,0.0,0,20
andujak2,fr_antfa,0.0,0,20
andujak2,fr_cance,0.1,2,20
andujak2,fr_cirug,0.0,0,20
andujak2,fr_embar,0.0,0,20
andujak2,fr_estro,0.0,0,20
andujak2,fr_inmov,0.0,0,20
andujak2,fr_tvp_a,0.0,0,20
andujak2,fr_tvs_a,0.0,0,20
andujak2,fr_varic,0.0,0,20
andujak2,fr_viaje,0.0,0,20
andujak2,fum_act,0.0,0,20
andujak2,hip_art,1.0,20,20
andujak2,insf_car,0.0,0,20
andujak2,peso,0.0,0,20
andujak2,protcrea,0.2,4,20
andujak2,raza,1.0,20,20
andujak2,sexo,0.0,0,20
andujak2,sin_tvp_,0.0,0,20
andujak2,splanchnic,1.0,20,20
andujak2,tension_,0.2,4,20
andujak2,trat_est,0.0,0,20
andujak2,tv_l_ein,0.45,9,20
andujak2,tv_l_esu,0.0,0,20
andujak2,tv_l_ova,0.15,3,20
andujak2,tv_l_ove,0.05,1,20
andujak2,tv_l_pul,0.05,1,20
andujak2,tv_l_sup,0.3,6,20
andujak2,tv_l_svc,0.0,0,20
andujak2,tv_l_vca,0.0,0,20
andujak2,tv_l_vre,0.0,0,20
andujak2,tv_l_vrn,0.0,0,20
andujak2,tv_l_yug,0.4,8,20
andujak2,tvp_orig,0.1,2,20
andujak2,tvp_prox,0.05,1,20
andujak2,var171,0.0,0,20
