outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
ana_dura,lasso,0,False,0.6528617540673307,0.5788469126432896,0.01,,,,,,,
ana_dura,lasso,1,True,0.6512595277565212,0.5817694166987386,0.1,,,,,,,
ana_dura,lasso,2,False,0.6514635242029532,0.5815399196463577,1.0,,,,,,,
ana_dura,lasso,3,False,0.65161321140924,0.5813930872128363,10.0,,,,,,,
ana_dura,xgb,0,False,0.6538907900207078,0.5757589129957809,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
ana_dura,xgb,1,True,0.6498935604127641,0.5828385670506904,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
ana_dura,xgb,2,False,0.6508965448057328,0.580427364299819,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
ana_dura,xgb,3,False,0.6510678277120138,0.5807358886558929,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var156,lasso,0,False,0.29429520818529253,0.6477778986964273,0.01,,,,,,,
var156,lasso,1,True,0.29092299165901275,0.6605940518388922,0.1,,,,,,,
var156,lasso,2,False,0.29147458255697223,0.6597405465983408,1.0,,,,,,,
var156,lasso,3,False,0.29198992941270974,0.6593617658696613,10.0,,,,,,,
var156,xgb,0,False,0.295436686136759,0.6432009243386967,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var156,xgb,1,True,0.2916690519652648,0.6561704056867361,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var156,xgb,2,False,0.29206711189362594,0.6545306531807169,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var156,xgb,3,False,0.29292657806792644,0.6510929920391504,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var157,lasso,0,False,0.2538287036445403,0.5841738265342995,0.01,,,,,,,
var157,lasso,1,True,0.2519871111904755,0.5997546432999477,0.1,,,,,,,
var157,lasso,2,False,0.25267768754840475,0.5960867220867672,1.0,,,,,,,
var157,lasso,3,False,0.25316811199406597,0.5938864178383085,10.0,,,,,,,
var157,xgb,0,False,0.2534940646219983,0.5883887645390631,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var157,xgb,1,True,0.2519160659675734,0.5971597091700466,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
