outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
ana_dura,lasso,0,False,0.6533412399498478,0.5782976705631111,0.01,,,,,,,
ana_dura,lasso,1,True,0.6516781842817199,0.5818111863549511,0.1,,,,,,,
ana_dura,lasso,2,False,0.6523439956905212,0.5812629397549736,1.0,,,,,,,
ana_dura,lasso,3,False,0.6526835977231629,0.5810943154996066,10.0,,,,,,,
ana_dura,xgb,0,False,0.6539764540127989,0.5750662863886704,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
ana_dura,xgb,1,True,0.6503965410421926,0.5808226087445206,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
ana_dura,xgb,2,False,0.651400182160754,0.5787783522535687,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
ana_dura,xgb,3,False,0.6515426213891805,0.5783247723951894,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var156,lasso,0,False,0.293457576184616,0.6423039597985551,0.01,,,,,,,
var156,lasso,1,True,0.28954024301704884,0.6566860300923809,0.1,,,,,,,
var156,lasso,2,False,0.29043076751214625,0.6550504280354272,1.0,,,,,,,
var156,lasso,3,False,0.2911362014717361,0.654385520593781,10.0,,,,,,,
var156,xgb,0,False,0.29371041312070306,0.6391379886220848,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var156,xgb,1,True,0.2902415302673399,0.6504514277019036,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var156,xgb,2,False,0.2907936235044684,0.64778848732689,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var156,xgb,3,False,0.29159947725066415,0.644360756031535,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var157,lasso,0,False,0.25241628130491045,0.5833076430259769,0.01,,,,,,,
var157,lasso,1,True,0.24965331604327645,0.6045928056396871,0.1,,,,,,,
var157,lasso,2,False,0.25035381064396983,0.60089052211275,1.0,,,,,,,
var157,lasso,3,False,0.2508262497464603,0.5986659595454819,10.0,,,,,,,
var157,xgb,0,False,0.2514042553002796,0.5944885210924791,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var157,xgb,1,True,0.2499786377983194,0.5991124228223682,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var157,xgb,2,False,0.2501267019768854,0.5991060328688098,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var157,xgb,3,False,0.2505462266903125,0.5948751511678638,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var161,lasso,0,False,0.27946619377823867,0.595828970004578,0.01,,,,,,,
var161,lasso,1,True,0.27648836374001257,0.6121612130335445,0.1,,,,,,,
var161,lasso,2,False,0.27751094218752304,0.6099760298423537,1.0,,,,,,,
var161,lasso,3,False,0.27799159437094323,0.6090661526383887,10.0,,,,,,,
var161,xgb,0,False,0.2782812909581214,0.6027756357000521,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var161,xgb,1,True,0.27525357472343404,0.6132033536404061,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var161,xgb,2,False,0.27559963800298604,0.612884835039782,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var161,xgb,3,False,0.27628557427953687,0.6109707104519669,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var155,lasso,0,False,0.14685755013559007,0.5466664839369872,0.01,,,,,,,
var155,lasso,1,True,0.14515333747563663,0.584016055393275,0.1,,,,,,,
var155,lasso,2,False,0.14658700646214406,0.5776699490848975,1.0,,,,,,,
var155,lasso,3,False,0.14745049861944975,0.5764087052010152,10.0,,,,,,,
var155,xgb,0,False,0.1464660269376031,0.5695772061361581,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var155,xgb,1,True,0.14488518329842173,0.5852762253993777,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var155,xgb,2,False,0.1451188906212687,0.5780081694485044,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var155,xgb,3,False,0.1451698841124082,0.5765055076123106,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var154,lasso,0,False,0.08556475759887147,0.46045698192059603,0.01,,,,,,,
var154,lasso,1,True,0.08437235499056082,0.5405874021726433,0.1,,,,,,,
var154,lasso,2,False,0.08528829378904906,0.5472467196199821,1.0,,,,,,,
var154,lasso,3,False,0.0857684555142525,0.5433169963270127,10.0,,,,,,,
var154,xgb,0,False,0.08626992364431736,0.538486263611468,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var154,xgb,1,True,0.08403936969443315,0.5622852421835455,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var154,xgb,2,False,0.08411588547779088,0.5601050143415229,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var154,xgb,3,False,0.08441070010984515,0.5424120324403952,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var158,lasso,0,False,0.06288452763851246,0.46559601713103127,0.01,,,,,,,
var158,lasso,1,True,0.0608260947798686,0.5826823166174836,0.1,,,,,,,
var158,lasso,2,False,0.061956319087244735,0.5822972756103169,1.0,,,,,,,
var158,lasso,3,False,0.06283588739708872,0.5817200135093703,10.0,,,,,,,
var158,xgb,0,False,0.06406822731845065,0.5644253547407351,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var158,xgb,1,True,0.06077505104798369,0.5960440779136167,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var158,xgb,2,False,0.060928253173140656,0.5830044815659372,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var158,xgb,3,False,0.061387181552770266,0.5758530784118345,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
