candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.4997081032265446,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.5655555985839115,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.5711987674653995,1.0,False,1,5,primary_complete_case,lasso,,,,,,,
3,0.5716104475885517,10.0,True,1,5,primary_complete_case,lasso,,,,,,,
0,0.4997081032265446,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.5733306326712282,0.1,False,2,5,primary_complete_case,lasso,,,,,,,
2,0.5757647088005391,1.0,True,2,5,primary_complete_case,lasso,,,,,,,
3,0.5754192796901351,10.0,False,2,5,primary_complete_case,lasso,,,,,,,
0,0.4997081032265446,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.572614906591767,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.5825826783531681,1.0,True,3,5,primary_complete_case,lasso,,,,,,,
3,0.5823521602639208,10.0,False,3,5,primary_complete_case,lasso,,,,,,,
0,0.49982988375389853,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.5794424515978776,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.5887984654096966,1.0,False,4,5,primary_complete_case,lasso,,,,,,,
3,0.5893691269391227,10.0,True,4,5,primary_complete_case,lasso,,,,,,,
0,0.4996514426163844,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.5683462198350786,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.5689338964401222,1.0,True,5,5,primary_complete_case,lasso,,,,,,,
3,0.5686246861876514,10.0,False,5,5,primary_complete_case,lasso,,,,,,,
0,0.5610705885241349,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5712188895495007,,True,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5663809836940248,,False,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.567177387940873,,False,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5733340496289057,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.581930419098718,,True,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5807633382208484,,False,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5797787481937582,,False,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
