variable,p_value,selected,observed_n
sexo,0.00011953551711190221,True,7209
ant_inf,0.18720529542883474,False,7209
ant_isq,0.4524899528078967,False,7209
ant_clau,0.004539536177542917,True,7209
fum_act,3.797885121495474e-05,True,7209
diabetes,1.432072892346628e-07,True,7209
hip_art,0.00011145020045337644,True,7209
insf_car,8.214746273591726e-05,True,7209
trat_est,0.040756185408416204,True,7209
e_con_pp,0.0002725422734709629,True,7209
e_con_cu,0.8291688020734873,False,7209
e_con_ec,0.3044720631307741,False,7209
e_con_lu,0.011342729874163753,True,7209
e_con_be,0.6895047202080962,False,7209
e_con_at,0.7792276520495564,False,7209
e_con_va,0.8291688020734873,False,7209
e_con_ar,0.08007366109537926,True,7209
e_con_ea,0.8647714475402577,False,7209
e_con_pr,0.004028841582653179,True,7209
e_con_ro,0.8429044443053652,False,7209
e_con_av,0.058005298386457196,True,7209
e_con_sm,0.7979608021471825,False,7209
sin_tvp_,0.04836852132807934,True,7209
var171,0.5092190163261534,False,7209
tv_l_ein,1.0,False,7209
tvp_prox,3.849104755696698e-05,True,7209
fr_cance,5.0692601130674e-07,True,7209
fr_cirug,0.002595053436069966,True,7209
fr_inmov,1.8625366586222548e-05,True,7209
fr_tvp_a,0.06552358399321558,True,7209
fr_viaje,0.13833564127557488,False,7209
fr_estro,0.8048036714854236,False,7209
fr_embar,0.008293687938367756,True,7209
fr_varic,0.4304176177273402,False,7209
fr_antec,0.310171497580815,False,7209
ana_dime,3.54798362871363e-08,True,7209
ana_crea,0.3534798086929898,False,7209
edad,2.1753081614856504e-09,True,7209
peso,0.38262778271489734,False,7209
tension_,2.3124037578580775e-05,True,7209
ana_hemo,0.00020749670026761402,True,7209
ana_plaq,0.22005302582206765,False,7209
ana_leuc,0.0027272989759937797,True,7209
female_under45,0.026291857408860756,True,7209
