variable,label,development_missing_fraction,nonconstant,retained_for_primary
sexo,Sex,0.0,True,True
raza,Recorded ethnicity,0.3217349857006673,True,True
ant_inf,Prior myocardial ischemia,0.019065776930409915,True,True
ant_isq,Prior cerebral ischemia,0.019542421353670163,True,True
ant_clau,Peripheral arterial disease,0.019542421353670163,True,True
fum_act,Current smoking,0.025262154432793137,True,True
diabetes,Diabetes,0.018589132507149667,True,True
hip_art,Hypertension,0.019065776930409915,True,True
insf_car,Heart failure,0.0038131553860819827,True,True
fibr_aur,Atrial fibrillation,0.14251668255481412,True,True
trat_est,Statin treatment,0.0219256434699714,True,True
e_con_pp,Chronic lung disease,0.0,True,True
e_con_cu,Ulcerative colitis,0.0,True,True
e_con_ec,Crohn disease,0.0,True,True
e_con_lu,Known lupus,0.0,True,True
e_con_be,Behcet disease,0.0,True,True
e_con_at,Temporal arteritis,0.0,False,False
e_con_va,Other vasculitis,0.0,True,True
e_con_ar,Rheumatoid arthritis,0.0,True,True
e_con_ea,Ankylosing spondylitis,0.0,True,True
e_con_pr,Polymyalgia rheumatica,0.0,True,True
e_con_ro,Rendu-Osler disease,0.0,False,False
e_con_av,Vena cava agenesis,0.0,True,True
e_con_sm,May-Thurner syndrome,0.0,True,True
sin_tvp_,Index VTE presentation,0.0,True,True
var171,Syncope,0.015252621544327931,True,True
tv_l_esu,Upper-extremity thrombosis,0.26930409914204007,True,True
tvp_orig,Upper-extremity catheter relationship,0.9604385128693994,True,False
tv_l_ein,Lower-extremity thrombosis,0.20591039084842708,True,True
tvp_prox,DVT proximal/distal location,0.4075309818875119,True,False
tv_l_svc,Cerebral sinus thrombosis,0.3555767397521449,True,True
tv_l_vre,Retinal vein thrombosis,0.36701620591039086,True,True
tv_l_vrn,Renal vein thrombosis,0.3617731172545281,True,True
tv_l_vca,Vena cava thrombosis,0.6939942802669209,True,False
tv_l_yug,Jugular vein thrombosis,0.7011439466158246,True,False
tv_l_ova,Ovarian vein thrombosis,0.7025738798856054,True,False
tv_l_sup,Suprahepatic vein thrombosis,0.7016205910390848,True,False
tv_l_pul,Pulmonary vein thrombosis,0.7016205910390848,True,False
tv_l_ove,Other vein thrombosis,0.3627264061010486,True,True
fr_cance,Active cancer,0.0,True,True
fr_cirug,Recent surgery,0.0,True,True
fr_inmov,Recent immobilization,0.0,True,True
fr_tvp_a,Prior VTE,0.0,True,True
fr_antfa,Family history of VTE,0.5228789323164919,True,False
fr_tvs_a,Prior superficial thrombosis,0.19304099142040038,True,True
fr_viaje,Recent prolonged travel,0.00667302192564347,True,True
fr_estro,Recent hormone exposure,0.009532888465204958,True,True
fr_embar,Pregnancy,0.0,True,True
fr_varic,Varicose veins,0.022402287893231648,True,True
fr_antec,Recent delivery,0.00047664442326024784,True,True
ana_dime,Recorded categorical D-dimer,0.13775023832221164,True,True
ana_crea,Recorded creatinine category,0.03670162059103908,True,True
ana_trop,Recorded troponin category,0.6358436606291706,True,False
edad,Age (years),0.0,True,True
peso,Weight (kg),0.0,True,True
tension_,Systolic BP (mmHg),0.047664442326024785,True,True
ana_hemo,Hemoglobin (g/dL),0.002859866539561487,True,True
ana_plaq,Platelets (10^9/L),0.002859866539561487,True,True
ana_leuc,Leukocytes (10^9/L),0.009532888465204958,True,True
ana_neu,Neutrophils (10^9/L),0.7793136320305052,True,False
protcrea,C-reactive protein (mg/dL),0.982840800762631,True,False
female_under45,Female and age <45,0.0,True,True
splanchnic,Splanchnic thrombosis,0.34699714013346045,True,True
