candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.44927536231884063,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.5909914361001317,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.6246706192358367,1.0,True,1,5,primary_complete_case,lasso,,,,,,,
3,0.5452898550724637,10.0,False,1,5,primary_complete_case,lasso,,,,,,,
0,0.44927536231884063,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.7332839262187087,0.1,False,2,5,primary_complete_case,lasso,,,,,,,
2,0.8129117259552042,1.0,False,2,5,primary_complete_case,lasso,,,,,,,
3,0.8333333333333333,10.0,True,2,5,primary_complete_case,lasso,,,,,,,
0,0.44927536231884063,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.5773221343873517,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.6337285902503293,1.0,True,3,5,primary_complete_case,lasso,,,,,,,
3,0.491600790513834,10.0,False,3,5,primary_complete_case,lasso,,,,,,,
0,0.44888231426692965,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.5640203813280737,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.5862919132149901,1.0,True,4,5,primary_complete_case,lasso,,,,,,,
3,0.5378040762656148,10.0,False,4,5,primary_complete_case,lasso,,,,,,,
0,0.44888231426692965,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.6098783694937541,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.6476002629848784,1.0,True,5,5,primary_complete_case,lasso,,,,,,,
3,0.6060979618671926,10.0,False,5,5,primary_complete_case,lasso,,,,,,,
0,0.6419631093544138,,True,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5915678524374176,,False,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
