variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Positive,Negative,8568,14306,8568,14306,0,0,3822.0,6959.0,44.6078431372549,48.64392562561164,-0.08097235821516012,3.3790369380850777e-09,,,,,,,,,,
sexo,Sex,Male,Positive,Negative,8568,14306,8568,14306,0,0,4746.0,7347.0,55.392156862745104,51.35607437438837,0.08097235821516012,3.3790369380850777e-09,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Positive,Negative,8568,14306,3283,6158,5285,8148,84.0,227.0,2.55863539445629,3.6862617733030207,-0.06486856897928038,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Positive,Negative,8568,14306,3283,6158,5285,8148,62.0,61.0,1.8885166006701186,0.9905813575836311,0.07543782750589739,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Positive,Negative,8568,14306,3283,6158,5285,8148,13.0,32.0,0.39597928723728293,0.5196492367651835,-0.01832036652495338,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Positive,Negative,8568,14306,3283,6158,5285,8148,3068.0,5749.0,93.45111178799878,93.358233192595,0.003742087298814267,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Negra,Positive,Negative,8568,14306,3283,6158,5285,8148,17.0,44.0,0.5178190679256778,0.7145177005521274,-0.02513784644609174,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Otras,Positive,Negative,8568,14306,3283,6158,5285,8148,4.0,12.0,0.12183978068839477,0.1948684637869438,-0.01836712703129642,1.2960773671361928e-05,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Positive,Negative,8568,14306,3283,6158,5285,8148,35.0,33.0,1.0660980810234542,0.5358882754140956,0.05950751804154073,1.2960773671361928e-05,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Positive,Negative,8568,14306,6288,11115,2280,3191,6068.0,10645.0,96.50127226463104,95.7714799820063,0.03787353367092145,0.01895292655838806,,,,,,,,,,
