variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Development eligible,Temporal eligible,10034,221,10034,221,0,0,4689.0,85.0,46.731114211680286,38.46153846153847,0.16782278194794506,0.01685975323475926,,,,,,,,,,
sexo,Sex,Male,Development eligible,Temporal eligible,10034,221,10034,221,0,0,5345.0,136.0,53.26888578831971,61.53846153846154,-0.1678227819479453,0.01685975323475926,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,56.0,11.0,2.1538461538461537,5.527638190954774,-0.1762360580143827,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,34.0,4.0,1.3076923076923077,2.0100502512562812,-0.055010903872075974,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,10.0,2.0,0.38461538461538464,1.0050251256281406,-0.07474109721151181,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,2464.0,173.0,94.76923076923077,86.93467336683418,0.2743025338158385,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Negra,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,8.0,5.0,0.3076923076923077,2.512562814070352,-0.18782111018014608,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Otras,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,3.0,0.0,0.11538461538461539,0.0,0.048066184636460944,7.1427306916909916e-06,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Development eligible,Temporal eligible,10034,221,2600,199,7434,22,25.0,4.0,0.9615384615384616,2.0100502512562812,-0.08674663946965458,7.1427306916909916e-06,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Development eligible,Temporal eligible,10034,221,5116,217,4918,4,4922.0,209.0,96.20797498045349,96.31336405529954,-0.005554895627987935,1.0,,,,,,,,,,
