variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,2560.0,2214.0,44.092318291422664,49.763991908293995,-0.1138320862930778,1.2438905049292089e-08,,,,,,,,,,
sexo,Sex,Male,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,3246.0,2235.0,55.90768170857734,50.236008091706,0.11383208629307803,1.2438905049292089e-08,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,28.0,39.0,2.0100502512562812,2.7738264580369845,-0.05000160820989002,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,17.0,21.0,1.2203876525484567,1.4935988620199145,-0.023616024613639257,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,7.0,5.0,0.5025125628140703,0.35561877667140823,0.022475153691600434,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,1320.0,1317.0,94.75951184493898,93.66998577524893,0.04668048195212173,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Negra,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,5.0,8.0,0.3589375448671931,0.5689900426742532,-0.030913452168526707,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Otras,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,0.0,3.0,0.0,0.21337126600284498,-0.06539533813251089,0.3689339538692839,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Complete cases,Excluded for missing predictors,5806,4449,1393,1406,4413,3043,16.0,13.0,1.148600143575018,0.9246088193456615,0.022116373426479378,0.3689339538692839,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Complete cases,Excluded for missing predictors,5806,4449,2689,2644,3117,1805,2594.0,2537.0,96.46708813685385,95.95310136157337,0.02691948724287169,0.35118634858246744,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Complete cases,Excluded for missing predictors,5806,4449,2689,2644,3117,1805,95.0,107.0,3.532911863146151,4.046898638426626,-0.026919487242871826,0.35118634858246744,,,,,,,,,,
ant_isq,Prior cerebral ischemia,No,Complete cases,Excluded for missing predictors,5806,4449,2680,2637,3126,1812,2585.0,2541.0,96.45522388059702,96.3594994311718,0.005143544055402157,0.8829328826822067,,,,,,,,,,
ant_isq,Prior cerebral ischemia,Yes,Complete cases,Excluded for missing predictors,5806,4449,2680,2637,3126,1812,95.0,96.0,3.544776119402985,3.6405005688282137,-0.005143544055402229,0.8829328826822067,,,,,,,,,,
ant_clau,Peripheral arterial disease,No,Complete cases,Excluded for missing predictors,5806,4449,2672,2638,3134,1811,2617.0,2583.0,97.94161676646706,97.91508718726308,0.0018625946104836816,1.0,,,,,,,,,,
ant_clau,Peripheral arterial disease,Yes,Complete cases,Excluded for missing predictors,5806,4449,2672,2638,3134,1811,55.0,55.0,2.058383233532934,2.0849128127369223,-0.0018625946104840945,1.0,,,,,,,,,,
fum_act,Current smoking,No,Complete cases,Excluded for missing predictors,5806,4449,2637,2606,3169,1843,2010.0,2083.0,76.22298065984073,79.93092862624712,-0.08971359231713837,0.0012050523984975066,,,,,,,,,,
fum_act,Current smoking,Yes,Complete cases,Excluded for missing predictors,5806,4449,2637,2606,3169,1843,627.0,523.0,23.77701934015927,20.069071373752877,0.0897135923171385,0.0012050523984975066,,,,,,,,,,
diabetes,Diabetes,No,Complete cases,Excluded for missing predictors,5806,4449,2703,2656,3103,1793,2451.0,2391.0,90.67702552719201,90.0225903614458,0.022164692000345237,0.43164804820104385,,,,,,,,,,
diabetes,Diabetes,Yes,Complete cases,Excluded for missing predictors,5806,4449,2703,2656,3103,1793,252.0,265.0,9.32297447280799,9.977409638554217,-0.022164692000345286,0.43164804820104385,,,,,,,,,,
hip_art,Hypertension,No,Complete cases,Excluded for missing predictors,5806,4449,2762,2702,3044,1747,1842.0,1801.0,66.6908037653874,66.65433012583271,0.0007737570410000598,1.0,,,,,,,,,,
hip_art,Hypertension,Yes,Complete cases,Excluded for missing predictors,5806,4449,2762,2702,3044,1747,920.0,901.0,33.3091962346126,33.345669874167285,-0.0007737570410001776,1.0,,,,,,,,,,
