bin,n,predicted,observed,absolute_error,outcome,analysis,validation,model
0,5134,0.062015572260800754,0.06486170627191273,0.0028461340111119796,var155,primary_complete_case,nested_cv,Logistic LASSO
1,570,0.11955846881955373,0.08596491228070176,0.033593556538851974,var155,primary_complete_case,nested_cv,Logistic LASSO
2,18,0.22436351047598338,0.1111111111111111,0.11325239936487227,var155,primary_complete_case,nested_cv,Logistic LASSO
3,1,0.304802432273329,0.0,0.304802432273329,var155,primary_complete_case,nested_cv,Logistic LASSO
0,5123,0.06020375506217,0.0650009759906305,0.004797220928460494,var155,primary_complete_case,nested_cv,Automatic integer score
1,571,0.1229300771981277,0.08056042031523643,0.042369656882891266,var155,primary_complete_case,nested_cv,Automatic integer score
2,27,0.21999439188060474,0.18518518518518517,0.034809206695419564,var155,primary_complete_case,nested_cv,Automatic integer score
3,2,0.31894603959329465,0.0,0.31894603959329465,var155,primary_complete_case,nested_cv,Automatic integer score
0,95,0.06554988300400424,0.14736842105263157,0.08181853804862732,var155,primary_complete_case,temporal_holdout,Logistic LASSO
1,7,0.11588218897050884,0.14285714285714285,0.026974953886634012,var155,primary_complete_case,temporal_holdout,Logistic LASSO
0,90,0.06065253601383041,0.14444444444444443,0.08379190843061401,var155,primary_complete_case,temporal_holdout,Automatic integer score
1,12,0.1159597469833681,0.16666666666666666,0.05070691968329856,var155,primary_complete_case,temporal_holdout,Automatic integer score
0,5188,0.06363030727403404,0.06611410948342328,0.0024838022093892353,var155,primary_complete_case,nested_cv,XGBoost
1,524,0.12359966782725039,0.07824427480916031,0.04535539301809008,var155,primary_complete_case,nested_cv,XGBoost
2,11,0.22183383052999323,0.0,0.22183383052999323,var155,primary_complete_case,nested_cv,XGBoost
0,94,0.06419300343445007,0.13829787234042554,0.07410486890597547,var155,primary_complete_case,temporal_holdout,XGBoost
1,8,0.1209761593490839,0.25,0.1290238406509161,var155,primary_complete_case,temporal_holdout,XGBoost
0,7726,0.05439949858019482,0.054232461817240486,0.000167036762954334,var155,sensitivity_native_missing,nested_cv,XGBoost
1,2227,0.12756604293790375,0.1243825774584643,0.003183465479439443,var155,sensitivity_native_missing,nested_cv,XGBoost
2,101,0.22658367897614395,0.25742574257425743,0.03084206359811348,var155,sensitivity_native_missing,nested_cv,XGBoost
3,10,0.31891265511512756,0.2,0.11891265511512755,var155,sensitivity_native_missing,nested_cv,XGBoost
4,1,0.4502972960472107,1.0,0.5497027039527893,var155,sensitivity_native_missing,nested_cv,XGBoost
0,129,0.07550075687756834,0.09302325581395349,0.017522498936385147,var155,sensitivity_native_missing,temporal_holdout,XGBoost
1,90,0.12692514939440622,0.2,0.0730748506055938,var155,sensitivity_native_missing,temporal_holdout,XGBoost
2,11,0.22213871370662341,0.09090909090909091,0.1312296227975325,var155,sensitivity_native_missing,temporal_holdout,XGBoost
