n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
7209,2801,2528,3698,710,273,0.5835861382148325,0.2327866597368054,0.6578924856366024,136.35733111388544,37.86933000416146,0.9025348089967868,0.890993501849777,0.9129735077323342,0.161070780399274,0.1505148889615858,0.172216893698912,0.4060391904914873,0.3939022534202753,0.4182920042131314,0.7222787385554426,0.6934565483077343,0.7493704084379101,0.0974651910032131,0.838929219600726,1.0758175873601503,0.6051078337213571,0.5709967051808047,0.5957791995712576,0.5839230059023428,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Logistic LASSO,0.0863061643026389,0.0145810527335888
7209,2801,2523,3691,717,278,0.5838334086024501,0.2328255034735074,0.6580004294795456,138.02191704813427,38.56290747676516,0.9007497322384862,0.8891220032486346,0.9112797424328908,0.1626588021778584,0.152058562907124,0.1738464978801318,0.4060186675249437,0.3938701902773683,0.41828327041548,0.7206030150753768,0.6919151559529829,0.74759403354173,0.0992502677615137,0.8373411978221416,1.075726041643795,0.6101745889717609,0.5713188451217512,0.5962412602917289,0.5840193181151366,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Automatic integer score,0.053398555558854,0.0155703901521506
423,141,129,261,21,12,0.5557190282178965,0.2272401091252363,0.6474594139505289,78.01418439716312,28.368794326241133,0.9148936170212766,0.8571335147826399,0.9506462531969112,0.0744680851063829,0.049219723401176,0.1111539991855466,0.3307692307692307,0.2859242911217098,0.3789154634453781,0.6363636363636364,0.466161783022664,0.7781282176475764,0.0851063829787234,0.925531914893617,0.9885057471264368,1.1428571428571428,0.4881048488506614,0.6157971178512148,0.5557190282178965,ana_dura,Composite thrombophilia,composite,primary_complete_case,temporal_holdout,Logistic LASSO,0.1477948418784705,0.0929207107953492
423,141,129,261,21,12,0.5563100447663598,0.2275024270796182,0.6480726836817899,78.01418439716312,28.368794326241133,0.9148936170212766,0.8571335147826399,0.9506462531969112,0.0744680851063829,0.049219723401176,0.1111539991855466,0.3307692307692307,0.2859242911217098,0.3789154634453781,0.6363636363636364,0.466161783022664,0.7781282176475764,0.0851063829787234,0.925531914893617,0.9885057471264368,1.1428571428571428,0.4888634248780242,0.6165245711986319,0.5563100447663598,ana_dura,Composite thrombophilia,composite,primary_complete_case,temporal_holdout,Automatic integer score,0.1518218940811655,0.0899967003998027
7209,2801,2542,3669,739,259,0.5913048133574281,0.2317094623303714,0.6553794215925243,138.43806353169649,35.92731308087113,0.9075330239200284,0.8962397696662177,0.917709978837534,0.1676497277676951,0.1569124945082247,0.178965726105985,0.4092738689421993,0.3971052611401235,0.4215546342944647,0.7404809619238477,0.7123981860905646,0.7667195383496141,0.0924669760799714,0.832350272232305,1.090325857029023,0.551548620514904,0.5781198002755045,0.6048640942258112,0.591729658145179,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,XGBoost,0.0241791744246473,0.0063219149673856
423,141,128,242,40,13,0.5473944972586892,0.2248170325305321,0.6410653317895844,125.29550827423166,30.73286052009456,0.9078014184397164,0.8486453120296745,0.9453262547878328,0.1418439716312056,0.1059260177784835,0.1873885320653414,0.3459459459459459,0.2992842931543229,0.3957736055612983,0.7547169811320755,0.6243344231264808,0.8506709789194319,0.0921985815602836,0.8581560283687943,1.0578512396694215,0.6499999999999999,0.4911806498667069,0.6059884437402545,0.5473944972586892,ana_dura,Composite thrombophilia,composite,primary_complete_case,temporal_holdout,XGBoost,0.0821127783966298,0.062771669234508
21762,8200,7388,10980,2582,812,0.6047699094672705,0.2268589081798482,0.6445471273435704,155.95993015347852,37.312746990166346,0.9009756097560976,0.8943216361468451,0.9072540687236514,0.1903848989824509,0.1838653570610574,0.1970797892100199,0.4022212543554007,0.3951512086468656,0.4093321901430032,0.7607542722451385,0.7461117664864552,0.7748071820433926,0.0990243902439024,0.8096151010175491,1.1128443733617663,0.5201273355878407,0.5973724809681642,0.6116762271330223,0.6050475127954987,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,nested_cv,XGBoost,0.0839877922913985,0.0115085463587791
1085,345,287,518,222,58,0.5940070505287897,0.212192289753975,0.613709039558563,258.06451612903226,53.45622119815668,0.8318840579710145,0.7888158268321704,0.8676428428860606,0.3,0.2680847193072513,0.3339810213288161,0.3565217391304348,0.3241875908696888,0.3902187399620636,0.7928571428571428,0.7415816002770471,0.8362057345308699,0.1681159420289855,0.7,1.1884057971014494,0.5603864734299517,0.5634908441049746,0.6303957598903251,0.5940070505287897,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,temporal_holdout,XGBoost,0.0460448267590452,0.0310221809670672
7209,2801,2541,3756,652,260,0.5648757962381856,0.2345536089110937,0.6616723734134295,126.50853100291305,36.06602857539188,0.9071760085683684,0.8958647305025328,0.9173719652211018,0.1479128856624319,0.1377392662871232,0.1586996404659508,0.4035254883277751,0.3914703678014778,0.4156982448448389,0.7149122807017544,0.6847585492878415,0.7432631309107908,0.0928239914316315,0.852087114337568,1.0646517161260298,0.6275585187586379,0.5516582676672384,0.5788233434503882,0.5647788899306055,ana_dura,Composite thrombophilia,composite,guided_complete_case,nested_cv,Logistic LASSO,0.0287832340033517,0.004085735574444
7209,2801,2556,3798,610,245,0.5626064647640103,0.2347856420428067,0.6621790003066013,118.60174781523096,33.9852961575808,0.9125312388432704,0.9014955016274102,0.922436985797982,0.1383847549909256,0.1285055817988924,0.1488936561936334,0.4022662889518413,0.3902719520646879,0.4143787288237314,0.7134502923976608,0.6822410775459004,0.7427500500379899,0.0874687611567297,0.8616152450090744,1.059093654771231,0.6320693429161717,0.5496175762593862,0.5772967322809264,0.5627585914998987,ana_dura,Composite thrombophilia,composite,guided_complete_case,nested_cv,Automatic integer score,0.01749887051956,0.0043269482121248
423,141,134,264,18,7,0.4884688898948744,0.2312325455574656,0.6552949819296203,59.1016548463357,16.548463356973993,0.950354609929078,0.9010743041142572,0.975746469675512,0.0638297872340425,0.0407532839267048,0.0986297817246859,0.3366834170854271,0.292012972224763,0.3844763567222352,0.72,0.5242339480963842,0.8571614614904344,0.0496453900709219,0.9361702127659576,1.0151515151515151,0.7777777777777779,0.4280273879583522,0.5421272194557617,0.4884688898948744,ana_dura,Composite thrombophilia,composite,guided_complete_case,temporal_holdout,Logistic LASSO,0.0781035699449866,0.0818991768798848
423,141,131,263,19,10,0.4958754589809365,0.2308278667335406,0.6545011809660184,68.5579196217494,23.64066193853428,0.9290780141843972,0.8743728043920829,0.9610233659115556,0.0673758865248227,0.0435543638020909,0.1028255874944104,0.33248730964467,0.2877840503945006,0.3804254911870067,0.6551724137931034,0.4734510409047613,0.80059281473325,0.0709219858156028,0.9326241134751772,0.9961977186311788,1.0526315789473686,0.4302905412202605,0.5502857627885922,0.4958754589809365,ana_dura,Composite thrombophilia,composite,guided_complete_case,temporal_holdout,Automatic integer score,0.078060753765673,0.0816073186665939
7209,806,734,5093,1310,72,0.6188674934864977,0.097685205067093,0.3418306623038374,191.70481342765987,9.987515605493131,0.9106699751861044,0.8889817408487527,0.9284622079508266,0.2045915976885834,0.1948892223446238,0.2146482191052952,0.125965333790973,0.1176914709688759,0.1347320375787872,0.9479015918958033,0.9348943678383352,0.9584257100972012,0.0893300248138957,0.7954084023114165,1.1449086689802916,0.4366260678499043,0.597855148641165,0.6385634578665631,0.6193062473015096,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Logistic LASSO,0.0362074851790221,0.0073451722599262
7209,806,735,5108,1295,71,0.6187450322797665,0.0977212384697804,0.3420012402121063,189.48536551532808,9.848800110972396,0.911910669975186,0.8903389672552295,0.929574600725013,0.2022489458066531,0.1925902064666323,0.2122647404666325,0.1257915454389868,0.1175338168660424,0.1345409946712566,0.9480234260614934,0.93494497899795,0.958589080814891,0.0880893300248139,0.7977510541933469,1.1431018049825992,0.4355490194199872,0.5976117497264968,0.6386035992743786,0.6192849232789754,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Automatic integer score,0.0315773123269413,0.0088073062951313
423,28,25,331,64,3,0.5859855334538879,0.0652816886422922,0.2600360894035483,158.39243498817967,7.092198581560283,0.8928571428571429,0.7280414845132785,0.9628816331707,0.1620253164556962,0.1289721182340117,0.2015889503432789,0.0702247191011236,0.0480156899456612,0.1016098117882089,0.9552238805970148,0.8764216691090624,0.9846560248779612,0.1071428571428571,0.8379746835443038,1.065494173500216,0.6612723214285714,0.4772434448462929,0.6713245931283908,0.5859855334538879,var156,Factor V Leiden,primary,primary_complete_case,temporal_holdout,Logistic LASSO,0.0623348648467056,0.0510870337370357
