outcome,label,analysis,validation,model,n_explicit,positive_n_explicit,auc_explicit,sensitivity_explicit,specificity_explicit,npv_explicit,tp_explicit,fp_explicit,tn_explicit,fn_explicit,n_routine,positive_n_routine,auc_routine,sensitivity_routine,specificity_routine,npv_routine,tp_routine,fp_routine,tn_routine,fn_routine
ana_dura,Composite thrombophilia,primary_complete_case,nested_cv,Logistic LASSO,7209,2801,0.5835861382148325,0.9025348089967868,0.161070780399274,0.7222787385554426,2528,3698,710,273,7209,2801,0.5835861382148325,0.9025348089967868,0.161070780399274,0.7222787385554426,2528,3698,710,273
ana_dura,Composite thrombophilia,primary_complete_case,nested_cv,Automatic integer score,7209,2801,0.5838334086024501,0.9007497322384862,0.1626588021778584,0.7206030150753768,2523,3691,717,278,7209,2801,0.5838334086024501,0.9007497322384862,0.1626588021778584,0.7206030150753768,2523,3691,717,278
ana_dura,Composite thrombophilia,primary_complete_case,temporal_holdout,Logistic LASSO,423,141,0.5557190282178965,0.9148936170212766,0.0744680851063829,0.6363636363636364,129,261,21,12,423,141,0.5557190282178965,0.9148936170212766,0.0744680851063829,0.6363636363636364,129,261,21,12
ana_dura,Composite thrombophilia,primary_complete_case,temporal_holdout,Automatic integer score,423,141,0.5563100447663598,0.9148936170212766,0.0744680851063829,0.6363636363636364,129,261,21,12,423,141,0.5563100447663598,0.9148936170212766,0.0744680851063829,0.6363636363636364,129,261,21,12
ana_dura,Composite thrombophilia,primary_complete_case,nested_cv,XGBoost,7209,2801,0.5913048133574281,0.9075330239200284,0.1676497277676951,0.7404809619238477,2542,3669,739,259,7209,2801,0.5913048133574281,0.9075330239200284,0.1676497277676951,0.7404809619238477,2542,3669,739,259
ana_dura,Composite thrombophilia,primary_complete_case,temporal_holdout,XGBoost,423,141,0.5473944972586892,0.9078014184397164,0.1418439716312056,0.7547169811320755,128,242,40,13,423,141,0.5473944972586892,0.9078014184397164,0.1418439716312056,0.7547169811320755,128,242,40,13
ana_dura,Composite thrombophilia,sensitivity_native_missing,nested_cv,XGBoost,21762,8200,0.6047699094672705,0.9009756097560976,0.1903848989824509,0.7607542722451385,7388,10980,2582,812,21762,8200,0.6047699094672705,0.9009756097560976,0.1903848989824509,0.7607542722451385,7388,10980,2582,812
ana_dura,Composite thrombophilia,sensitivity_native_missing,temporal_holdout,XGBoost,1085,345,0.5940070505287897,0.8318840579710145,0.3,0.7928571428571428,287,518,222,58,1085,345,0.5940070505287897,0.8318840579710145,0.3,0.7928571428571428,287,518,222,58
ana_dura,Composite thrombophilia,guided_complete_case,nested_cv,Logistic LASSO,7209,2801,0.5648757962381856,0.9071760085683684,0.1479128856624319,0.7149122807017544,2541,3756,652,260,7209,2801,0.5648757962381856,0.9071760085683684,0.1479128856624319,0.7149122807017544,2541,3756,652,260
ana_dura,Composite thrombophilia,guided_complete_case,nested_cv,Automatic integer score,7209,2801,0.5626064647640103,0.9125312388432704,0.1383847549909256,0.7134502923976608,2556,3798,610,245,7209,2801,0.5626064647640103,0.9125312388432704,0.1383847549909256,0.7134502923976608,2556,3798,610,245
