n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
21762,8200,7388,10980,2582,812,0.6047699094672705,0.2268589081798482,0.6445471273435704,155.95993015347852,37.312746990166346,0.9009756097560976,0.8943216361468451,0.9072540687236514,0.1903848989824509,0.1838653570610574,0.1970797892100199,0.4022212543554007,0.3951512086468656,0.4093321901430032,0.7607542722451385,0.7461117664864552,0.7748071820433926,0.0990243902439024,0.8096151010175491,1.1128443733617663,0.5201273355878407,0.5973724809681642,0.6116762271330223,0.6050475127954987,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,nested_cv,XGBoost,0.0839877922913985,0.0115085463587791
1085,345,287,518,222,58,0.5940070505287897,0.212192289753975,0.613709039558563,258.06451612903226,53.45622119815668,0.8318840579710145,0.7888158268321704,0.8676428428860606,0.3,0.2680847193072513,0.3339810213288161,0.3565217391304348,0.3241875908696888,0.3902187399620636,0.7928571428571428,0.7415816002770471,0.8362057345308699,0.1681159420289855,0.7,1.1884057971014494,0.5603864734299517,0.5634908441049746,0.6303957598903251,0.5940070505287897,ana_dura,Composite thrombophilia,composite,sensitivity_native_missing,temporal_holdout,XGBoost,0.0460448267590452,0.0310221809670672
21762,1973,1761,14699,5090,212,0.656515032375136,0.0803598876608176,0.2915622047032831,243.63569524859847,9.741751677235548,0.8925494171312722,0.8781137347360555,0.9054594714451184,0.2572136035171055,0.2511711636701543,0.2633502849055002,0.1069866342648845,0.102355985224666,0.1118006845683174,0.960015088645794,0.9543997356180424,0.96496433469178,0.1074505828687278,0.7427863964828946,1.2016232679509318,0.4177484448701876,0.6441492473804414,0.6680503849955602,0.6566095535786481,var156,Factor V Leiden,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0231874334538162,0.0023163876244787
1085,72,62,689,324,10,0.649877975211144,0.0609148625018272,0.2361900023294946,307.8341013824885,9.216589861751151,0.8611111111111112,0.762868127494437,0.9227726922970102,0.3198420533070089,0.291846797129672,0.3491985233243963,0.0825565912117177,0.0649334391529416,0.1044285604124024,0.9700598802395208,0.9457726901213542,0.9836573481459512,0.1388888888888889,0.6801579466929911,1.266045799064667,0.4342421124828532,0.5807468191290995,0.7140897499177361,0.649877975211144,var156,Factor V Leiden,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.0488308512399804,0.015675664930025
21762,1544,1409,16079,4139,135,0.6055405247312071,0.0653319311940625,0.2512318102980893,196.39738994577704,6.20347394540943,0.9125647668393784,0.8974315219999023,0.9256501914015884,0.2047185676130181,0.1992130722774247,0.2103362497111612,0.0805695333943275,0.0766271584355848,0.084696134224246,0.9684136640149744,0.9627351608205872,0.9732509056438337,0.0874352331606217,0.7952814323869819,1.1474740006193511,0.4270996723946487,0.5921544682872493,0.6195725609637337,0.605857496320919,var157,Prothrombin G20210A,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0066621387769415,0.0030218151526561
1085,58,53,707,320,5,0.639861666051103,0.0501033474237719,0.203354100597804,299.5391705069124,4.608294930875576,0.913793103448276,0.8135637093712647,0.962614616873809,0.311587147030185,0.2840079129628589,0.3405706323716131,0.0697368421052631,0.0537089311720785,0.0900924526782821,0.9846153846153848,0.9644972375934336,0.9934111755661086,0.0862068965517241,0.688412852969815,1.327391113495586,0.2766702586206896,0.581045395024007,0.7115821106000066,0.639861666051103,var157,Prothrombin G20210A,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.0224805922501466,0.0081516029562131
21762,1763,1591,15996,4003,172,0.6380790536974381,0.072876156183794,0.2719181316950258,191.84817571914343,7.903685323040161,0.902439024390244,0.8877008573352192,0.9154272291808928,0.2001600080004,0.1946724080830609,0.2057627738539821,0.0904645476772616,0.0863141317944087,0.0947938309075799,0.9588023952095808,0.9523400100332918,0.9644212592686412,0.0975609756097561,0.7998399919996,1.1282744466604455,0.4874149266099206,0.6256298503382345,0.6496579699943591,0.638822289029193,var161,Registry-coded APS,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.0185551941359978,0.0032804084718521
1085,122,121,927,36,1,0.6694074187562773,0.0964860631306463,0.3366980043832986,34.10138248847927,0.9216589861751152,0.9918032786885246,0.9550291990931754,0.9985516090487794,0.0373831775700934,0.0271234410034127,0.0513190566044182,0.1154580152671755,0.0974986615587285,0.1362261614733728,0.972972972972973,0.861759301362695,0.9952130255480596,0.0081967213114754,0.9626168224299064,1.0303199108706032,0.2192622950819672,0.61974777845871,0.7138032403860886,0.6694074187562773,var161,Registry-coded APS,exploratory,sensitivity_native_missing,temporal_holdout,XGBoost,0.0953418258613986,0.0161395431886757
21762,725,658,17557,3480,67,0.6036446130217203,0.0320841850608524,0.1441405935527181,162.9905339582759,3.0787611432772723,0.9075862068965516,0.8843031240477071,0.9265728117919894,0.1654228264486381,0.1604630329172383,0.1705047885194527,0.0361240735657425,0.0335105707646024,0.0389331936648689,0.9811107978573442,0.9760825302450384,0.9850980911881488,0.0924137931034482,0.8345771735513619,1.087480266246099,0.5586520015854142,0.5847227413768517,0.6237699881817421,0.6064924386404013,var155,Protein S deficiency,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.0816748380791841,0.0007137617979353
1085,31,26,789,265,5,0.5883883209891657,0.0277362800412956,0.1287726300999233,248.8479262672811,4.608294930875576,0.8387096774193549,0.6736564604120674,0.9290737555663472,0.2514231499051233,0.226167062614163,0.2784846074157039,0.0319018404907975,0.0218622362867392,0.0463334543676124,0.9814814814814816,0.9573897786668156,0.9920647017456729,0.1612903225806451,0.7485768500948766,1.120405576679341,0.6415094339622642,0.4831303176837853,0.68107516679929,0.5883883209891657,var155,Protein S deficiency,exploratory,sensitivity_native_missing,temporal_holdout,XGBoost,0.0603528790635264,0.0012247878345682
