variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,10781.0,48943.0,47.13211506513946,50.678747087755625,-0.07099432910567761,5.291944973885211e-22,,,,,,,,,,
sexo,Sex,Male,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,12093.0,47632.0,52.86788493486054,49.32125291224437,0.07099432910567774,5.291944973885211e-22,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,311.0,1384.0,3.2941425696430464,3.587350959046138,-0.016086706420993392,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,123.0,903.0,1.3028280902446776,2.3405909797822706,-0.0776565280455085,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,45.0,667.0,0.47664442326024786,1.728875064800415,-0.12012509369253588,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,8817.0,35033.0,93.39053066412455,90.80611715914982,0.09591253058575375,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Negra,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,61.0,204.0,0.6461179959750027,0.5287713841368584,0.0153560403902754,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Otras,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,16.0,213.0,0.16947357271475477,0.552099533437014,-0.06384917878343176,2.944016962126534e-32,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Tested,Not tested or unknown,22874,96575,9441,38580,13433,57995,68.0,176.0,0.7202626840377079,0.4561949196474857,0.0345372763141716,2.944016962126534e-32,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Tested,Not tested or unknown,22874,96575,17403,72382,5471,24193,16713.0,67040.0,96.0351663506292,92.61971208311459,0.14805620936860686,9.724255309364103e-66,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Tested,Not tested or unknown,22874,96575,17403,72382,5471,24193,690.0,5342.0,3.9648336493707985,7.380287916885414,-0.14805620936860728,9.724255309364103e-66,,,,,,,,,,
ant_isq,Prior cerebral ischemia,No,Tested,Not tested or unknown,22874,96575,17391,72352,5483,24223,16733.0,67261.0,96.21643378759128,92.96356700574967,0.1441685244542976,2.3807167688899917e-62,,,,,,,,,,
ant_isq,Prior cerebral ischemia,Yes,Tested,Not tested or unknown,22874,96575,17391,72352,5483,24223,658.0,5091.0,3.783566212408717,7.036432994250331,-0.14416852445429768,2.3807167688899917e-62,,,,,,,,,,
ant_clau,Peripheral arterial disease,No,Tested,Not tested or unknown,22874,96575,17376,72073,5498,24502,16904.0,69440.0,97.28360957642725,96.34675953547098,0.053371669598308094,5.049688565669813e-10,,,,,,,,,,
ant_clau,Peripheral arterial disease,Yes,Tested,Not tested or unknown,22874,96575,17376,72073,5498,24502,472.0,2633.0,2.716390423572744,3.6532404645290195,-0.05337166959830828,5.049688565669813e-10,,,,,,,,,,
fum_act,Current smoking,No,Tested,Not tested or unknown,22874,96575,17223,71350,5651,25225,13730.0,62079.0,79.71898043314172,87.0063069376314,-0.19662057505884079,7.207934101308e-123,,,,,,,,,,
fum_act,Current smoking,Yes,Tested,Not tested or unknown,22874,96575,17223,71350,5651,25225,3493.0,9271.0,20.281019566858273,12.993693062368605,0.19662057505884079,7.207934101308e-123,,,,,,,,,,
diabetes,Diabetes,No,Tested,Not tested or unknown,22874,96575,17429,72733,5445,23842,15479.0,59699.0,88.81175053072465,82.0796612266784,0.1917770504876556,4.189651227080053e-110,,,,,,,,,,
diabetes,Diabetes,Yes,Tested,Not tested or unknown,22874,96575,17429,72733,5445,23842,1950.0,13034.0,11.188249469275345,17.9203387733216,-0.1917770504876557,4.189651227080053e-110,,,,,,,,,,
hip_art,Hypertension,No,Tested,Not tested or unknown,22874,96575,17585,73814,5289,22761,11353.0,36063.0,64.56070514643162,48.856585471590755,0.3210047553139228,2.937335633476e-311,,,,,,,,,,
hip_art,Hypertension,Yes,Tested,Not tested or unknown,22874,96575,17585,73814,5289,22761,6232.0,37751.0,35.439294853568384,51.143414528409245,-0.3210047553139229,2.937335633476e-311,,,,,,,,,,
insf_car,Heart failure,No,Tested,Not tested or unknown,22874,96575,22688,94286,186,2289,21788.0,87663.0,96.03314527503525,92.9756273465838,0.13446655939329602,1.016276841745308e-70,,,,,,,,,,
insf_car,Heart failure,Yes,Tested,Not tested or unknown,22874,96575,22688,94286,186,2289,900.0,6623.0,3.966854724964739,7.024372653416202,-0.1344665593932962,1.016276841745308e-70,,,,,,,,,,
fibr_aur,Atrial fibrillation,No,Tested,Not tested or unknown,22874,96575,11289,54583,11585,41992,11006.0,51109.0,97.49313491008947,93.63538097942583,0.18819927874111073,1.8168802932606594e-69,,,,,,,,,,
fibr_aur,Atrial fibrillation,Yes,Tested,Not tested or unknown,22874,96575,11289,54583,11585,41992,283.0,3474.0,2.5068650899105323,6.364619020574172,-0.18819927874111111,1.8168802932606594e-69,,,,,,,,,,
trat_est,Statin treatment,No,Tested,Not tested or unknown,22874,96575,17319,71915,5555,24660,14164.0,54477.0,81.7830128760321,75.75192936105124,0.14787846788058268,8.835258881207402e-67,,,,,,,,,,
trat_est,Statin treatment,Yes,Tested,Not tested or unknown,22874,96575,17319,71915,5555,24660,3155.0,17438.0,18.216987123967897,24.24807063894876,-0.14787846788058276,8.835258881207402e-67,,,,,,,,,,
e_con_pp,Chronic lung disease,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,20779.0,85716.0,90.84112966687069,88.75588920528087,0.06893624004311628,1.7414187159924985e-20,,,,,,,,,,
e_con_pp,Chronic lung disease,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,2095.0,10859.0,9.158870333129316,11.244110794719129,-0.06893624004311638,1.7414187159924985e-20,,,,,,,,,,
e_con_cu,Ulcerative colitis,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22775.0,96203.0,99.56719419428171,99.61480714470619,-0.007460308192138437,0.31835514033245194,,,,,,,,,,
e_con_cu,Ulcerative colitis,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,99.0,372.0,0.4328058057182828,0.38519285529381314,0.007460308192138501,0.31835514033245194,,,,,,,,,,
e_con_ec,Crohn disease,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22785.0,96256.0,99.61091195243507,99.6696867719389,-0.009817669788306714,0.185361335985959,,,,,,,,,,
e_con_ec,Crohn disease,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,89.0,319.0,0.3890880475649209,0.3303132280610924,0.009817669788307124,0.185361335985959,,,,,,,,,,
e_con_lu,Known lupus,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22805.0,96429.0,99.6983474687418,99.84882215894383,-0.0316633829026538,7.569775888715138e-06,,,,,,,,,,
e_con_lu,Known lupus,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,69.0,146.0,0.3016525312581971,0.15117784105617396,0.03166338290265254,7.569775888715138e-06,,,,,,,,,,
e_con_be,Behcet disease,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22847.0,96537.0,99.88196205298591,99.96065234273881,-0.028065148261048948,4.33403288983344e-05,,,,,,,,,,
e_con_be,Behcet disease,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,27.0,38.0,0.11803794701407712,0.03934765726119596,0.028065148261045142,4.33403288983344e-05,,,,,,,,,,
e_con_at,Temporal arteritis,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22857.0,96418.0,99.92567981113929,99.83743204763137,0.025659024098870362,0.000978662329277554,,,,,,,,,,
e_con_at,Temporal arteritis,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,17.0,157.0,0.07432018886071523,0.16256795236862542,-0.02565902409886742,0.000978662329277554,,,,,,,,,,
e_con_va,Other vasculitis,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22779.0,96239.0,99.58468129754307,99.65208387263785,-0.010931987862329335,0.125558344342368,,,,,,,,,,
e_con_va,Other vasculitis,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,95.0,336.0,0.415318702456938,0.34791612736215377,0.01093198786233051,0.125558344342368,,,,,,,,,,
e_con_ar,Rheumatoid arthritis,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22661.0,95463.0,99.0688117513334,98.84856329277764,0.021698061462816245,0.003969914496749127,,,,,,,,,,
e_con_ar,Rheumatoid arthritis,Yes,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,213.0,1112.0,0.9311882486666083,1.1514367072223661,-0.021698061462815915,0.003969914496749127,,,,,,,,,,
e_con_ea,Ankylosing spondylitis,No,Tested,Not tested or unknown,22874,96575,22874,96575,0,0,22834.0,96450.0,99.82512896738656,99.87056691690395,-0.01165783308170254,0.11231554924911355,,,,,,,,,,
