variable,p_value,selected,observed_n
sexo,0.014759838347459508,True,7209
ant_inf,0.6901261529205565,False,7209
ant_isq,0.4145814969149364,False,7209
ant_clau,0.9162874974521087,False,7209
fum_act,0.20271925851421654,False,7209
diabetes,0.3627787640958695,False,7209
hip_art,0.9392142270085142,False,7209
insf_car,0.4412455058803664,False,7209
trat_est,0.28622189596280356,False,7209
e_con_pp,0.5607388471519041,False,7209
e_con_cu,0.7043472917519926,False,7209
e_con_ec,0.49138801142735855,False,7209
e_con_lu,0.9815619023197198,False,7209
e_con_be,0.6082066482380935,False,7209
e_con_at,0.5058200078312458,False,7209
e_con_va,0.07796381164332133,True,7209
e_con_ar,0.59032261099959,False,7209
e_con_ea,0.41162345159947455,False,7209
e_con_pr,0.18300194496859762,False,7209
e_con_ro,0.6380471455115837,False,7209
e_con_av,0.18300194496859762,False,7209
e_con_sm,0.7312958879155435,False,7209
sin_tvp_,0.08049987120874755,True,7209
var171,0.26072277515861253,False,7209
tv_l_ein,1.0,False,7209
tvp_prox,0.04836340515164438,True,7209
fr_cance,0.8686101296582612,False,7209
fr_cirug,0.056218936554890936,True,7209
fr_inmov,0.9571685070057093,False,7209
fr_tvp_a,0.42833281523850075,False,7209
fr_viaje,0.13562103238522794,False,7209
fr_estro,0.7895422443442861,False,7209
fr_embar,0.004204375972397586,True,7209
fr_varic,0.08314800176269255,True,7209
fr_antec,0.03210612259819178,True,7209
ana_dime,0.09027465801969432,True,7209
ana_crea,0.1894535852370881,False,7209
edad,0.011120475837535886,True,7209
peso,0.19534721018072637,False,7209
tension_,0.03806856837588121,True,7209
ana_hemo,0.0012886549223777152,True,7209
ana_plaq,0.5302561456875148,False,7209
ana_leuc,0.10000927173745561,False,7209
female_under45,0.01920927056676783,True,7209
