candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.4998828582584928,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.5984261537856155,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.6143631817755297,1.0,False,1,5,primary_complete_case,lasso,,,,,,,
3,0.61557591662656,10.0,True,1,5,primary_complete_case,lasso,,,,,,,
0,0.4998828582584928,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.606924075806144,0.1,False,2,5,primary_complete_case,lasso,,,,,,,
2,0.6173888893933752,1.0,True,2,5,primary_complete_case,lasso,,,,,,,
3,0.6155527607009132,10.0,False,2,5,primary_complete_case,lasso,,,,,,,
0,0.4998828582584928,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.6074058098671485,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.6215027741707,1.0,False,3,5,primary_complete_case,lasso,,,,,,,
3,0.6227669666342787,10.0,True,3,5,primary_complete_case,lasso,,,,,,,
0,0.49926164187084676,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.6124280585788364,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.623939595273053,1.0,False,4,5,primary_complete_case,lasso,,,,,,,
3,0.6251004785385116,10.0,True,4,5,primary_complete_case,lasso,,,,,,,
0,0.49988288112434126,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.5923057135550723,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.6103479217452226,1.0,False,5,5,primary_complete_case,lasso,,,,,,,
3,0.6108428776138013,10.0,True,5,5,primary_complete_case,lasso,,,,,,,
0,0.6001645130142356,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5992904903305092,,False,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6020142628394312,,True,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5929960135484867,,False,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6109692495361247,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6216205212958843,,True,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6198093646801001,,False,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6143890619277232,,False,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6075843980518754,,False,3,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6131262315774179,,False,3,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6157025931609806,,True,3,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6082052190126797,,False,3,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6115522433841778,,False,4,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.615665195204188,,False,4,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6181826145152236,,True,4,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6112996073001674,,False,4,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5960721294905027,,False,5,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6031290713562638,,True,5,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5995988602850497,,False,5,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5997273278889701,,False,5,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
