Variable,Tested,Not_Tested,Standardized_Difference
N,22874,35784,
"Age, mean (SD)",55.2 (18.1),70.7 (14.5),-0.9498512542646397
Female sex,10781 (47.1%),18666 (52.2%),-0.10074733669737515
Active cancer,2671 (11.7%),11328 (31.7%),-0.49989079214390086
Immobilization,4361 (19.1%),9881 (27.6%),-0.20311526511426076
Prior VTE,3062 (13.4%),4644 (13.0%),0.012075739101494488
Known lupus,69 (0.3%),36 (0.1%),0.04488610314544273
Known APS,27 (0.1%),3 (0.0%),0.04363859507322169
"Hemoglobin, mean (SD)",13.46 (2.43),12.72 (2.18),0.3203754721850926
"Leukocytes, mean (SD)",210.62 (30241.75),11.87 (238.33),0.0092941155741048
"D-dimer, mean (SD)",1360.25 (66333.76),1995.82 (120906.33),-0.00651769734329286
