Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,2048,29351,0,0,1.0,0.0,0.0652250071658333,,31399,0
Automatic Integer Score,1.0,score >= threshold,False,2048,27582,1769,0,1.0,0.06027051889203094,0.06911913601079986,1.0,29630,1769
Automatic Integer Score,2.0,score >= threshold,False,2048,14144,15207,0,1.0,0.5181084119791489,0.12648221343873517,1.0,16192,15207
Automatic Integer Score,3.0,score >= threshold,False,2048,6230,23121,0,1.0,0.7877414738850466,0.24740275428847547,1.0,8278,23121
Automatic Integer Score,4.0,score >= threshold,False,2048,5750,23601,0,1.0,0.8040952608088311,0.2626314439599897,1.0,7798,23601
Automatic Integer Score,5.0,score >= threshold,False,2048,5605,23746,0,1.0,0.809035467275391,0.26760747419312686,1.0,7653,23746
Automatic Integer Score,6.0,score >= threshold,False,2048,5552,23799,0,1.0,0.8108411979148922,0.2694736842105263,1.0,7600,23799
Automatic Integer Score,8.0,score >= threshold,False,2048,5510,23841,0,1.0,0.8122721542707233,0.2709711563905795,1.0,7558,23841
Automatic Integer Score,9.0,score >= threshold,False,2048,5494,23857,0,1.0,0.8128172805015161,0.2715460090161761,1.0,7542,23857
Automatic Integer Score,10.0,score >= threshold,True,1943,4791,24560,105,0.94873046875,0.8367687642669756,0.28853578853578854,0.9957429556051085,6734,24665
Automatic Integer Score,11.0,score >= threshold,False,1772,3669,25682,276,0.865234375,0.874995741201322,0.32567542731115606,0.9893674397103013,5441,25958
Automatic Integer Score,12.0,score >= threshold,False,1478,2502,26849,570,0.7216796875,0.9147558856597731,0.371356783919598,0.9792114956781793,3980,27419
Automatic Integer Score,13.0,score >= threshold,False,1139,1605,27746,909,0.55615234375,0.9453170249735955,0.41508746355685133,0.9682777874716454,2744,28655
Automatic Integer Score,14.0,score >= threshold,False,842,957,28394,1206,0.4111328125,0.9673946373207045,0.4680377987770984,0.9592567567567568,1799,29600
Automatic Integer Score,15.0,score >= threshold,False,580,524,28827,1468,0.283203125,0.9821471159415353,0.5253623188405797,0.9515431589371184,1104,30295
Automatic Integer Score,16.0,score >= threshold,False,321,155,29196,1727,0.15673828125,0.9947190896391945,0.6743697478991597,0.9441516023671701,476,30923
Automatic Integer Score,17.0,score >= threshold,False,173,67,29284,1875,0.08447265625,0.9977172839085551,0.7208333333333333,0.9398247697294522,240,31159
Automatic Integer Score,18.0,score >= threshold,False,54,1,29350,1994,0.0263671875,0.9999659296105754,0.9818181818181818,0.9363833588565594,55,31344
Automatic Integer Score,19.0,score >= threshold,False,22,0,29351,2026,0.0107421875,1.0,1.0,0.9354304108104663,22,31377
Automatic Integer Score,20.0,score >= threshold,False,1,0,29351,2047,0.00048828125,1.0,1.0,0.9348047646346901,1,31398
Association-Guided Integer Score,0.0,score <= threshold,False,761,9612,19739,1287,0.37158203125,0.6725154168512146,0.07336353995951027,0.9387900694378388,10373,21026
Association-Guided Integer Score,1.0,score <= threshold,False,1682,23436,5915,366,0.8212890625,0.20152635344621989,0.06696393024922366,0.9417290240407579,25118,6281
Association-Guided Integer Score,2.0,score <= threshold,False,1695,23841,5510,353,0.82763671875,0.1877278457292767,0.06637687969924812,0.9397919154016715,25536,5863
Association-Guided Integer Score,3.0,score <= threshold,True,1856,26376,2975,192,0.90625,0.10135940853803958,0.06574100311703032,0.9393748026523524,28232,3167
Association-Guided Integer Score,13.0,score <= threshold,False,1881,26792,2559,167,0.91845703125,0.08718612653742633,0.06560178565200711,0.9387380777696258,28673,2726
Association-Guided Integer Score,14.0,score <= threshold,False,2048,29351,0,0,1.0,0.0,0.0652250071658333,,31399,0
