,var158,ant_clau,ant_inf,ant_isq,diabetes,e_con_af,e_con_ar,e_con_at,e_con_av,e_con_be,e_con_cu,e_con_ea,e_con_ec,e_con_lu,e_con_pp,e_con_pr,e_con_ro,e_con_sm,e_con_va,eisq_ang
var158,1.0,0.0186185890155143,0.00980473587828083,0.015089894270755504,0.014452066125620524,0.009740315862476492,0.0,0.0,0.01417489024830524,0.0,0.0,0.0,0.0,0.002070227144000934,0.01070291072618649,0.0,0.0,0.011656649377919772,0.0,0.0071449781212387
ant_clau,0.0186185890155143,1.0,0.1882782051952011,0.1046631956082495,0.12950834062374525,0.0,0.013524952016913831,0.024235652509986064,0.0,0.0,0.0,0.0,0.0,0.0,0.040246451672095514,0.004001878365619575,0.0,0.0,0.0,0.035818634056865
ant_inf,0.00980473587828083,0.1882782051952011,1.0,0.116822000081546,0.18659214380439462,0.0,0.019706772089116264,0.0019714447504049653,0.0,0.0,0.010127652214886844,0.00879983219000437,0.0,0.008162445732950638,0.04484520775443719,0.016012089411840975,0.0,0.0,0.013308506286758809,0.08717662024698052
ant_isq,0.015089894270755504,0.1046631956082495,0.116822000081546,1.0,0.13444522578882204,0.0,0.010985623899870916,0.026162196102533685,0.0,0.009629883711016548,0.0,0.0,0.006819607674453539,0.0,0.02087521558245094,0.04047178864650754,0.01841818454962629,0.0,0.006597739614636965,0.02432620718564891
diabetes,0.014452066125620524,0.12950834062374525,0.18659214380439462,0.13444522578882204,1.0,0.0,0.01260323823315102,0.026355007827234767,0.0,0.0,0.013479520642188832,0.0,0.005182785543856422,0.0,0.03391125646563157,0.010912707464449355,0.0,0.0,0.0,0.03675301468767634
e_con_af,0.009740315862476492,0.0,0.0,0.0,0.0,1.0,0.01761034609291406,0.0,0.0,0.0,0.0,0.0,0.0,0.03022157313598343,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ar,0.0,0.013524952016913831,0.019706772089116264,0.010985623899870916,0.01260323823315102,0.01761034609291406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02522109738956424,0.0,0.0,0.0,0.0,0.008183506449023055,0.014582587368072811
e_con_at,0.0,0.024235652509986064,0.0019714447504049653,0.026162196102533685,0.026355007827234767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08550402137489799,0.0,0.0,0.0,0.0
e_con_av,0.01417489024830524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07076105970475166,0.0,0.0,0.0,0.0,0.004500881627340627,0.0,0.0,0.0,0.0,0.0
e_con_be,0.0,0.0,0.0,0.009629883711016548,0.0,0.0,0.0,0.0,0.07076105970475166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_cu,0.0,0.0,0.010127652214886844,0.0,0.013479520642188832,0.0,0.0,0.0,0.0,0.0,1.0,0.030163572114784702,0.0,0.0,0.0,0.0,0.0,0.026192507483405146,0.0,0.0
e_con_ea,0.0,0.0,0.00879983219000437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030163572114784702,1.0,0.0,0.0,0.004500881627340627,0.0,0.0,0.0,0.0,0.0
e_con_ec,0.0,0.0,0.0,0.006819607674453539,0.005182785543856422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.010469690934255064,0.0,0.0,0.030224713071474434,0.0,0.0
e_con_lu,0.002070227144000934,0.0,0.008162445732950638,0.0,0.0,0.03022157313598343,0.02522109738956424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01734237931772633,0.0
e_con_pp,0.01070291072618649,0.040246451672095514,0.04484520775443719,0.02087521558245094,0.03391125646563157,0.0,0.0,0.0,0.004500881627340627,0.0,0.0,0.004500881627340627,0.010469690934255064,0.0,1.0,0.0,0.0,0.0059648599674289,0.004008482672400035,0.0
e_con_pr,0.0,0.004001878365619575,0.016012089411840975,0.04047178864650754,0.010912707464449355,0.0,0.0,0.08550402137489799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017093138300703414,0.0
e_con_ro,0.0,0.0,0.0,0.01841818454962629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
e_con_sm,0.011656649377919772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026192507483405146,0.0,0.030224713071474434,0.0,0.0059648599674289,0.0,0.0,1.0,0.0,0.0
e_con_va,0.0,0.0,0.013308506286758809,0.006597739614636965,0.0,0.0,0.008183506449023055,0.0,0.0,0.0,0.0,0.0,0.0,0.01734237931772633,0.004008482672400035,0.017093138300703414,0.0,0.0,1.0,0.0
eisq_ang,0.0071449781212387,0.035818634056865,0.08717662024698052,0.02432620718564891,0.03675301468767634,0.0,0.014582587368072811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
