Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,248,30552,0,0,1.0,0.0,0.008051948051948052,,30800,0
Automatic Integer Score,1.0,score >= threshold,True,235,27775,2777,13,0.9475806451612904,0.09089421314480231,0.008389860764012852,0.9953405017921146,28010,2790
Automatic Integer Score,2.0,score >= threshold,False,219,23688,6864,29,0.8830645161290323,0.2246661429693637,0.009160496925586648,0.9957928333091542,23907,6893
Automatic Integer Score,3.0,score >= threshold,False,167,16029,14523,81,0.6733870967741935,0.47535349567949725,0.010311187947641394,0.9944535743631882,16196,14604
Automatic Integer Score,4.0,score >= threshold,False,116,7648,22904,132,0.46774193548387094,0.7496726891856507,0.014940752189592994,0.9942698385136308,7764,23036
Automatic Integer Score,5.0,score >= threshold,False,60,3107,27445,188,0.24193548387096775,0.8983045299816705,0.01894537417113988,0.9931965403684001,3167,27633
Automatic Integer Score,6.0,score >= threshold,False,20,1045,29507,228,0.08064516129032258,0.9657960199004975,0.018779342723004695,0.9923322683706071,1065,29735
Automatic Integer Score,7.0,score >= threshold,False,7,255,30297,241,0.028225806451612902,0.9916535742340927,0.026717557251908396,0.992108193070928,262,30538
Automatic Integer Score,8.0,score >= threshold,False,0,64,30488,248,0.0,0.9979052107881644,0.0,0.9919312857886518,64,30736
Automatic Integer Score,9.0,score >= threshold,False,0,9,30543,248,0.0,0.9997054202670856,0.0,0.991945698418369,9,30791
Automatic Integer Score,10.0,score >= threshold,False,0,1,30551,248,0.0,0.999967268918565,0.0,0.991947790512679,1,30799
Association-Guided Integer Score,0.0,score <= threshold,False,34,2204,28348,214,0.13709677419354838,0.927860696517413,0.01519213583556747,0.9925075274840698,2238,28562
Association-Guided Integer Score,1.0,score <= threshold,False,162,16837,13715,86,0.6532258064516129,0.4489067818800733,0.009529972351314784,0.993768567495109,16999,13801
Association-Guided Integer Score,2.0,score <= threshold,True,245,29909,643,3,0.9879032258064516,0.021046085362660383,0.008124958546129867,0.9953560371517027,30154,646
Association-Guided Integer Score,3.0,score <= threshold,False,248,30318,234,0,1.0,0.007659073055773763,0.008113590263691683,1.0,30566,234
Association-Guided Integer Score,4.0,score <= threshold,False,248,30552,0,0,1.0,0.0,0.008051948051948052,,30800,0
