,var161,ant_clau,ant_inf,ant_isq,e_con_af,e_con_ar,e_con_at,e_con_av,e_con_be,e_con_cu,e_con_ea,e_con_ec,e_con_lu,e_con_pp,e_con_pr,e_con_ro,e_con_sm,e_con_va,fr_antec,fr_antfa
var161,1.0,0.07488720267693587,0.10259533292646676,0.0974318117580652,0.07600751885854816,0.03336100906753312,0.0,0.0,0.0017446449240207495,0.0,0.014696734297953491,0.016107344000658688,0.03198793161019016,0.0020969921911946025,0.030250935202027568,0.0,0.009070509506767369,0.027444701274586036,0.024426334856240548,0.05691478937376046
ant_clau,0.07488720267693587,1.0,0.13782168358229765,0.11615587086387609,0.0,0.0,0.003509565806896182,0.0,0.0,0.001932403164633249,0.0,0.007672027864195727,0.0,0.07488417792367419,0.012400549011005704,0.0,0.0,0.003517369073601851,0.010323292064326884,0.0
ant_inf,0.10259533292646676,0.13782168358229765,1.0,0.09935772739037113,0.0,0.004647196747047229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06258354203731577,0.012623689369584797,0.0,0.004485088801095582,0.0,0.01521683824140579,0.021528660844071425
ant_isq,0.0974318117580652,0.11615587086387609,0.09935772739037113,1.0,0.0,0.0,0.014705202088456017,0.0,0.0,0.0,0.0,0.0,0.0,0.042754718221563646,0.022075265660046476,0.016131619653752184,0.0042586993528622216,0.0,0.014891018594459045,0.012826050261838464
e_con_af,0.07600751885854816,0.0,0.0,0.0,1.0,0.007855899059217476,0.0,0.0,0.0,0.0,0.0,0.0,0.02909882354544529,0.0,0.0,0.0,0.0,0.018619429955147454,0.0,0.0
e_con_ar,0.03336100906753312,0.0,0.004647196747047229,0.0,0.007855899059217476,1.0,0.0,0.0,0.0,0.002036096813902813,0.012234841888828637,0.0,0.025571867774246106,0.006471351648571671,0.0,0.0,0.0,0.013355114652635397,0.0,0.0
e_con_at,0.0,0.003509565806896182,0.0,0.014705202088456017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008706401541936318,0.04790967072646348,0.0,0.0,0.0,0.0,0.0
e_con_av,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.051710737092740176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022063513350156196
e_con_be,0.0017446449240207495,0.0,0.0,0.0,0.0,0.0,0.0,0.051710737092740176,1.0,0.020493644580384014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_cu,0.0,0.001932403164633249,0.0,0.0,0.0,0.002036096813902813,0.0,0.0,0.020493644580384014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ea,0.014696734297953491,0.0,0.0,0.0,0.0,0.012234841888828637,0.0,0.0,0.0,0.0,1.0,0.05988015616668841,0.0,0.0,0.006494627428832247,0.0,0.0,0.0,0.0,0.002879594766818391
e_con_ec,0.016107344000658688,0.007672027864195727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05988015616668841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_lu,0.03198793161019016,0.0,0.0,0.0,0.02909882354544529,0.025571867774246106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0037753521148797316,0.0,0.0,0.022603153763767127,0.0,0.0028101254490421885
e_con_pp,0.0020969921911946025,0.07488417792367419,0.06258354203731577,0.042754718221563646,0.0,0.006471351648571671,0.008706401541936318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005438872510135133,0.008021969918688839,0.01498656389010908,0.02555644404181725
e_con_pr,0.030250935202027568,0.012400549011005704,0.012623689369584797,0.022075265660046476,0.0,0.0,0.04790967072646348,0.0,0.0,0.0,0.006494627428832247,0.0,0.0037753521148797316,0.0,1.0,0.0,0.0,0.015081142558397006,0.0,0.0023070334252340845
e_con_ro,0.0,0.0,0.0,0.016131619653752184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
e_con_sm,0.009070509506767369,0.0,0.004485088801095582,0.0042586993528622216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005438872510135133,0.0,0.0,1.0,0.0,0.010818097777919006,0.006906955761831714
e_con_va,0.027444701274586036,0.003517369073601851,0.0,0.0,0.018619429955147454,0.013355114652635397,0.0,0.0,0.0,0.0,0.0,0.0,0.022603153763767127,0.008021969918688839,0.015081142558397006,0.0,0.0,1.0,0.0,0.0
fr_antec,0.024426334856240548,0.010323292064326884,0.01521683824140579,0.014891018594459045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01498656389010908,0.0,0.0,0.010818097777919006,0.0,1.0,0.0
fr_antfa,0.05691478937376046,0.0,0.021528660844071425,0.012826050261838464,0.0,0.0,0.0,0.022063513350156196,0.0,0.0,0.002879594766818391,0.0,0.0028101254490421885,0.02555644404181725,0.0023070334252340845,0.0,0.006906955761831714,0.0,0.0,1.0
