variable_a,variable_b,cramers_v
ant_clau,ant_inf,0.13782168358229765
ant_clau,ant_isq,0.11615587086387609
var161,ant_inf,0.10259533292646676
ant_inf,ant_isq,0.09935772739037113
var161,ant_isq,0.0974318117580652
var161,e_con_af,0.07600751885854816
var161,ant_clau,0.07488720267693587
ant_clau,e_con_pp,0.07488417792367419
ant_inf,e_con_pp,0.06258354203731577
e_con_ea,e_con_ec,0.05988015616668841
var161,fr_antfa,0.05691478937376046
e_con_av,e_con_be,0.051710737092740176
e_con_at,e_con_pr,0.04790967072646348
ant_isq,e_con_pp,0.042754718221563646
var161,e_con_ar,0.03336100906753312
var161,e_con_lu,0.03198793161019016
var161,e_con_pr,0.030250935202027568
e_con_af,e_con_lu,0.02909882354544529
var161,e_con_va,0.027444701274586036
e_con_ar,e_con_lu,0.025571867774246106
e_con_pp,fr_antfa,0.02555644404181725
var161,fr_antec,0.024426334856240548
e_con_lu,e_con_va,0.022603153763767127
ant_isq,e_con_pr,0.022075265660046476
e_con_av,fr_antfa,0.022063513350156196
